,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,14,,0.0,,,29/01/2020,19:56:57
1,19,,0.0,,,31/01/2020,21:49:27
2,19,,,,,02/02/2020,16:27:45
3,19,7.0,,,,03/02/2020,07:08:53
4,25,7.0,,,,04/02/2020,23:07:01
5,25,8.0,,,,05/02/2020,09:27:26
6,25,9.0,,,,06/02/2020,23:02:52
7,32,9.0,,,,08/02/2020,14:51:42
8,32,10.0,,,,10/02/2020,10:07:48
9,33,10.0,,,,11/02/2020,18:49:21
10,33,12.0,,,,13/02/2020,17:47:19
11,33,13.0,,,,14/02/2020,23:27:53
12,34,14.0,,,,15/02/2020,06:36:49
13,35,15.0,,,,17/02/2020,10:01:50
14,35,17.0,,,,18/02/2020,12:52:29
15,35,19.0,,,,21/02/2020,11:29:14
16,35,20.0,,,,22/02/2020,12:55:44
17,35,21.0,,,,23/02/2020,12:25:15
18,35,15.0,,,,24/02/2020,15:57:52
19,35,21.0,,,,25/02/2020,02:11:26
20,37,21.0,,,,25/02/2020,05:36:57
21,37,22.0,,,,25/02/2020,23:28:19
22,40,22.0,,,,26/02/2020,05:51:31
23,41,22.0,,,,28/02/2020,08:40:12
24,41,28.0,,,,28/02/2020,20:48:39
25,42,28.0,,,,29/02/2020,09:01:40
26,42,28.0,1.0,,,01/03/2020,11:31:41
27,42,30.0,1.0,,,01/03/2020,11:53:07
28,43,30.0,1.0,,,02/03/2020,06:02:04
29,47,31.0,1.0,,,05/03/2020,06:13:58
30,48,31.0,1.0,,,06/03/2020,15:42:22
31,50,31.0,1.0,,,07/03/2020,11:13:05
32,50,33.0,1.0,,,09/03/2020,02:51:22
33,53,33.0,1.0,,,10/03/2020,08:34:40
34,59,34.0,1.0,,,11/03/2020,07:35:33
35,70,35.0,1.0,,,12/03/2020,07:41:03
36,75,35.0,1.0,,,13/03/2020,07:15:11
37,82,35.0,1.0,,,14/03/2020,11:03:36
38,114,35.0,1.0,,,15/03/2020,08:45:12
39,147,35.0,1.0,,,16/03/2020,12:36:27
40,177,41.0,1.0,,,17/03/2020,08:19:33
41,212,41.0,1.0,,,18/03/2020,05:42:07
42,212,42.0,1.0,,,19/03/2020,02:37:17
43,272,42.0,1.0,,,19/03/2020,08:17:49
44,322,42.0,1.0,,,20/03/2020,05:03:30
45,411,42.0,1.0,,,21/03/2020,05:32:26
46,411,44.0,1.0,,,21/03/2020,12:01:55
47,599,44.0,1.0,,,22/03/2020,05:37:27
48,721,52.0,1.0,,,23/03/2020,05:16:51
49,827,52.0,4.0,,,24/03/2020,03:58:37
50,934,52.0,4.0,,,25/03/2020,04:44:55
51,934,70.0,4.0,,,25/03/2020,07:42:01
52,1045,70.0,4.0,,,26/03/2020,06:15:33
53,1045,88.0,4.0,,,26/03/2020,08:30:04
54,1136,97.0,5.0,,,27/03/2020,06:31:51
55,1245,97.0,6.0,,,28/03/2020,06:01:19
56,1388,97.0,6.0,,,29/03/2020,05:04:29
57,1388,97.0,7.0,,,29/03/2020,07:14:58
58,1388,229.0,7.0,,,30/03/2020,01:55:20
