,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,21/03/2020,07:50:45
1,2,1.0,,,,10/04/2020,05:20:14
2,4,1.0,,,,13/04/2020,11:07:56
3,6,1.0,,,,14/04/2020,06:58:03
4,8,1.0,,,,15/04/2020,08:35:53
5,18,1.0,,,,16/04/2020,07:21:21
6,19,1.0,,,,19/04/2020,11:33:05
7,22,1.0,,,,20/04/2020,08:00:05
8,23,1.0,,322.0,,21/04/2020,07:00:08
9,24,2.0,,322.0,,25/04/2020,00:01:13
10,24,6.0,,322.0,,28/04/2020,02:05:53
11,24,16.0,,322.0,,30/04/2020,12:32:52
12,24,20.0,,664.0,,04/05/2020,04:01:21
13,24,21.0,,738.0,,07/05/2020,20:30:27
14,24,20.0,,664.0,,07/05/2020,21:17:20
15,24,21.0,,738.0,,08/05/2020,00:30:45
16,24,24.0,,738.0,1315040.0,15/05/2020,09:30:11
17,24,24.0,,1290.0,1315796.0,26/05/2020,19:00:18
18,24,24.0,,1290.0,1315864.0,27/05/2020,16:10:09
19,24,24.0,0.0,1290.0,1316002.0,29/05/2020,00:22:14
20,24,24.0,0.0,1568.0,1316345.0,03/06/2020,09:51:24
21,25,24.0,0.0,4238.0,1320606.0,04/08/2020,23:47:39
22,25,25.0,0.0,4238.0,1321637.0,19/08/2020,09:49:22
23,26,25.0,0.0,5146.0,1321843.0,22/08/2020,07:14:38
24,27,25.0,0.0,5146.0,1322186.0,27/08/2020,10:25:36
25,27,26.0,0.0,5146.0,1323423.0,14/09/2020,13:47:51
26,27,26.0,0.0,6783.0,1323904.0,21/09/2020,14:13:18
27,27,27.0,0.0,6783.0,1323904.0,21/09/2020,23:59:44
28,28,31.0,0.0,7889.0,1324454.0,29/09/2020,12:29:23
29,28,28.0,0.0,7889.0,1324523.0,30/09/2020,04:49:05
30,28,28.0,0.0,8073.0,1324592.0,01/10/2020,22:30:14
31,29,28.0,0.0,9043.0,1325347.0,12/10/2020,09:23:28
32,29,28.0,0.0,9471.0,1325554.0,15/10/2020,09:03:53
33,29,28.0,0.0,9720.0,1325828.0,17/10/2020,18:13:13
34,29,28.0,0.0,9895.0,1325966.0,21/10/2020,11:10:24
35,29,28.0,0.0,10129.0,1326103.0,23/10/2020,11:00:16
36,29,28.0,0.0,10547.0,1326241.0,25/10/2020,10:48:21
37,30,28.0,0.0,10635.0,1326378.0,27/10/2020,04:14:15
38,30,29.0,0.0,10890.0,1326378.0,27/10/2020,17:46:24
