,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,06/03/2020,15:42:22
1,9,,,,,20/03/2020,08:58:28
2,16,,,,,21/03/2020,13:27:55
3,18,,,,,23/03/2020,11:25:55
4,20,1.0,,,,24/03/2020,12:32:37
5,23,1.0,,,,25/03/2020,12:02:15
6,24,1.0,,,,27/03/2020,00:30:39
7,25,1.0,,,,27/03/2020,10:57:20
8,25,1.0,1.0,,,27/03/2020,22:31:35
9,30,1.0,1.0,,,30/03/2020,02:31:37
10,34,10.0,1.0,,,31/03/2020,15:53:36
11,36,10.0,2.0,,,01/04/2020,12:03:47
12,39,17.0,2.0,,,02/04/2020,18:08:37
13,40,17.0,3.0,,,03/04/2020,12:31:44
14,41,17.0,3.0,,,04/04/2020,13:14:05
15,44,20.0,3.0,,,05/04/2020,14:29:43
16,52,22.0,3.0,,,06/04/2020,11:02:34
17,58,23.0,3.0,1467.0,,06/04/2020,23:07:56
18,65,23.0,3.0,1617.0,,07/04/2020,15:52:17
19,70,23.0,3.0,1747.0,,08/04/2020,14:01:11
20,73,24.0,3.0,1747.0,,09/04/2020,14:32:13
21,76,25.0,3.0,2069.0,,10/04/2020,11:00:35
22,76,29.0,3.0,2532.0,,12/04/2020,15:00:04
23,77,29.0,3.0,2739.0,,13/04/2020,11:07:56
24,77,32.0,3.0,2806.0,,14/04/2020,13:31:09
25,81,35.0,3.0,3036.0,,15/04/2020,12:33:22
26,81,45.0,5.0,3618.0,,16/04/2020,15:00:09
27,83,48.0,5.0,3926.0,,17/04/2020,12:00:06
28,84,49.0,5.0,4191.0,,18/04/2020,13:55:46
29,84,52.0,5.0,4295.0,,19/04/2020,16:00:05
30,84,53.0,6.0,4381.0,,20/04/2020,17:15:53
31,86,56.0,6.0,4600.0,,21/04/2020,21:00:07
32,88,56.0,6.0,4733.0,,22/04/2020,14:49:32
33,88,59.0,6.0,4733.0,,23/04/2020,17:00:34
34,90,59.0,6.0,4733.0,,24/04/2020,12:45:23
35,96,62.0,6.0,5584.0,,25/04/2020,17:30:05
36,98,62.0,6.0,5951.0,,26/04/2020,19:50:22
37,99,62.0,6.0,6141.0,,28/04/2020,02:05:53
38,99,63.0,6.0,6141.0,,28/04/2020,22:33:10
39,99,63.0,6.0,6234.0,,29/04/2020,00:04:29
40,109,64.0,7.0,6675.0,,29/04/2020,16:35:36
41,116,65.0,9.0,6882.0,,30/04/2020,14:03:28
42,123,66.0,9.0,7100.0,,01/05/2020,15:32:27
43,124,67.0,9.0,7425.0,,03/05/2020,13:30:04
44,126,74.0,9.0,7891.0,,04/05/2020,13:45:37
45,128,74.0,9.0,7896.0,,05/05/2020,14:11:06
46,128,77.0,9.0,8835.0,,06/05/2020,12:31:06
47,135,85.0,9.0,9267.0,,07/05/2020,20:01:11
48,145,85.0,10.0,9657.0,,07/05/2020,20:30:27
49,135,85.0,9.0,9267.0,,07/05/2020,21:17:20
50,145,85.0,10.0,9267.0,,08/05/2020,13:28:31
51,145,85.0,10.0,9657.0,,08/05/2020,14:01:24
52,153,87.0,10.0,9657.0,,09/05/2020,17:37:06
53,153,87.0,10.0,10094.0,,09/05/2020,20:30:24
54,173,89.0,11.0,10377.0,,10/05/2020,17:11:02
55,174,89.0,11.0,10377.0,,11/05/2020,00:30:00
