,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,12/03/2020,21:44:18
1,2,,,,,14/03/2020,11:03:36
2,4,,,,,16/03/2020,06:00:44
3,5,,,,,17/03/2020,09:42:54
4,7,,,,,18/03/2020,05:42:07
5,9,,,,,19/03/2020,04:20:48
6,49,,,,,21/03/2020,15:27:25
7,50,,,,,22/03/2020,13:23:33
8,51,,,,,23/03/2020,15:31:10
9,52,,,,,24/03/2020,03:58:37
10,53,,,,,24/03/2020,15:52:26
11,57,,,,,24/03/2020,20:45:49
12,60,,,,,25/03/2020,15:47:34
13,60,,1.0,,,25/03/2020,23:27:24
14,61,,1.0,,,26/03/2020,15:14:31
15,65,,1.0,,,26/03/2020,21:30:04
16,66,1.0,2.0,,,27/03/2020,15:09:55
17,74,1.0,2.0,,,28/03/2020,15:29:50
18,74,1.0,3.0,,,28/03/2020,22:21:04
19,76,1.0,3.0,,,28/03/2020,23:38:50
20,78,1.0,3.0,,,29/03/2020,21:06:14
21,82,1.0,3.0,,,30/03/2020,14:20:08
22,83,1.0,3.0,,,30/03/2020,23:58:38
23,85,1.0,3.0,,,31/03/2020,02:35:12
24,87,1.0,3.0,,,31/03/2020,20:39:01
25,87,1.0,4.0,,,01/04/2020,03:32:33
26,89,1.0,4.0,,,01/04/2020,05:58:21
27,89,1.0,5.0,,,01/04/2020,14:34:33
28,90,1.0,5.0,,,01/04/2020,20:29:34
29,94,1.0,5.0,,,02/04/2020,22:06:41
30,97,1.0,6.0,,,03/04/2020,02:36:07
31,98,1.0,6.0,,,03/04/2020,20:37:05
32,100,1.0,6.0,,,04/04/2020,02:20:37
33,100,1.0,6.0,722.0,,04/04/2020,03:58:25
34,101,1.0,6.0,722.0,,04/04/2020,14:44:54
35,103,1.0,6.0,736.0,,04/04/2020,20:49:25
36,103,1.0,6.0,779.0,,05/04/2020,10:59:42
37,104,1.0,7.0,797.0,,05/04/2020,14:19:56
38,105,1.0,7.0,825.0,,06/04/2020,02:28:01
39,105,1.0,8.0,833.0,,06/04/2020,14:20:56
40,106,1.0,8.0,870.0,,07/04/2020,14:32:01
41,107,1.0,8.0,878.0,,07/04/2020,20:07:56
42,107,1.0,8.0,974.0,,09/04/2020,05:35:00
43,109,1.0,8.0,987.0,,09/04/2020,15:26:47
44,109,1.0,8.0,1045.0,,10/04/2020,11:57:25
45,109,3.0,8.0,1090.0,,11/04/2020,02:56:16
46,112,12.0,8.0,1102.0,,11/04/2020,21:15:17
47,113,12.0,8.0,1102.0,,12/04/2020,15:00:04
48,113,16.0,8.0,1126.0,,12/04/2020,21:30:08
49,113,17.0,8.0,1152.0,,14/04/2020,05:56:23
50,114,19.0,8.0,1282.0,,15/04/2020,14:52:21
51,114,20.0,8.0,1282.0,,16/04/2020,02:00:02
52,114,20.0,8.0,1298.0,,17/04/2020,09:00:05
53,114,21.0,8.0,1320.0,,18/04/2020,11:00:05
54,114,21.0,8.0,1335.0,,19/04/2020,19:47:39
55,114,22.0,8.0,1371.0,,20/04/2020,23:40:25
56,114,21.0,8.0,1335.0,,21/04/2020,00:00:05
57,114,26.0,8.0,1380.0,,21/04/2020,00:07:03
58,115,28.0,8.0,1393.0,,21/04/2020,21:00:07
59,115,37.0,8.0,1425.0,,22/04/2020,14:49:32
60,115,37.0,8.0,1449.0,,22/04/2020,23:52:27
61,115,37.0,8.0,1454.0,,23/04/2020,02:55:23
62,115,45.0,8.0,1459.0,,23/04/2020,17:00:34
63,115,48.0,8.0,1473.0,,24/04/2020,03:30:38
64,115,48.0,8.0,1480.0,,24/04/2020,22:52:58
65,115,48.0,8.0,1501.0,,25/04/2020,04:33:31
66,115,53.0,8.0,1510.0,,25/04/2020,17:30:05
67,115,53.0,8.0,1514.0,,26/04/2020,03:00:50
68,115,54.0,8.0,1514.0,,26/04/2020,23:18:02
69,116,58.0,8.0,1525.0,,27/04/2020,02:57:23
70,116,59.0,8.0,1525.0,,27/04/2020,14:32:07
71,116,59.0,8.0,1572.0,,28/04/2020,02:05:53
72,116,59.0,8.0,1596.0,,28/04/2020,21:20:46
73,116,59.0,8.0,1642.0,,29/04/2020,04:13:02
74,116,68.0,8.0,1642.0,,29/04/2020,16:35:36
75,116,71.0,8.0,1642.0,,30/04/2020,00:07:58
76,116,72.0,8.0,1683.0,,30/04/2020,05:00:29
77,116,72.0,8.0,1730.0,,30/04/2020,21:33:29
78,116,73.0,8.0,1772.0,,01/05/2020,03:00:08
79,116,81.0,8.0,1772.0,,01/05/2020,20:30:20
80,116,83.0,8.0,1838.0,,02/05/2020,02:18:38
81,116,87.0,8.0,1838.0,,02/05/2020,15:41:59
82,116,88.0,8.0,1838.0,,02/05/2020,20:30:17
83,116,88.0,8.0,1907.0,,03/05/2020,03:00:05
84,116,93.0,8.0,1940.0,,04/05/2020,02:30:32
85,116,96.0,8.0,1940.0,,04/05/2020,14:50:36
86,116,96.0,8.0,2007.0,,04/05/2020,17:30:05
87,116,99.0,8.0,2012.0,,04/05/2020,21:01:13
88,116,102.0,8.0,2055.0,,05/05/2020,02:42:08
89,116,102.0,8.0,2071.0,,05/05/2020,22:31:03
90,116,103.0,8.0,2080.0,,06/05/2020,03:30:14
91,116,103.0,8.0,2114.0,,06/05/2020,15:00:36
92,116,103.0,8.0,2121.0,,06/05/2020,22:33:44
93,116,103.0,8.0,2154.0,,07/05/2020,02:29:13
94,116,103.0,8.0,2229.0,,07/05/2020,20:30:27
95,116,103.0,8.0,2154.0,,07/05/2020,21:17:20
96,116,103.0,8.0,2173.0,,07/05/2020,23:31:58
97,116,103.0,8.0,2229.0,,08/05/2020,02:30:44
98,116,103.0,8.0,2241.0,,08/05/2020,22:03:24
99,116,104.0,8.0,2271.0,,09/05/2020,21:00:54
100,116,104.0,8.0,2301.0,,10/05/2020,03:00:31
101,116,107.0,8.0,2307.0,,10/05/2020,15:02:57
102,116,107.0,8.0,2320.0,,11/05/2020,22:46:40
103,116,107.0,8.0,2334.0,,12/05/2020,15:39:30
104,116,107.0,8.0,2358.0,,12/05/2020,20:30:16
105,116,107.0,8.0,2413.0,,13/05/2020,02:54:11
106,116,107.0,8.0,2428.0,,13/05/2020,20:19:26
107,116,107.0,8.0,2498.0,,14/05/2020,02:30:11
108,116,107.0,8.0,2511.0,,14/05/2020,15:58:44
109,116,107.0,8.0,2516.0,,14/05/2020,22:15:16
110,116,107.0,8.0,2576.0,1398913.0,15/05/2020,05:31:30
111,116,107.0,8.0,2597.0,1398913.0,15/05/2020,20:52:31
112,116,107.0,8.0,2647.0,1398925.0,16/05/2020,15:07:37
113,116,107.0,8.0,2670.0,1398937.0,17/05/2020,02:30:37
114,116,107.0,8.0,2678.0,1398950.0,18/05/2020,00:00:39
115,116,107.0,8.0,2682.0,1398950.0,18/05/2020,02:30:21
116,116,107.0,8.0,2690.0,1398962.0,19/05/2020,00:06:01
117,116,107.0,8.0,2720.0,1398962.0,19/05/2020,03:03:06
118,116,107.0,8.0,2727.0,1398974.0,20/05/2020,00:09:48
119,116,107.0,8.0,2785.0,1398987.0,21/05/2020,07:23:54
120,116,107.0,8.0,2805.0,1398987.0,21/05/2020,23:35:30
