,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,02/03/2020,16:03:28
1,2,,,,,08/03/2020,20:26:10
2,5,,,,,09/03/2020,15:54:25
3,6,,,,,10/03/2020,16:37:32
4,7,,,,,11/03/2020,15:56:47
5,13,,,,,12/03/2020,19:40:23
6,16,,,,,13/03/2020,18:56:18
7,18,,,,,14/03/2020,17:54:56
8,20,,,,,15/03/2020,18:16:20
9,24,,,,,17/03/2020,04:32:23
10,24,1.0,,,,17/03/2020,13:20:44
11,25,1.0,,,,17/03/2020,21:14:56
12,27,1.0,,,,18/03/2020,06:13:45
13,29,1.0,,,,18/03/2020,12:00:36
14,39,1.0,,,,19/03/2020,11:18:34
15,39,1.0,1.0,,,19/03/2020,17:14:37
16,50,1.0,1.0,,,20/03/2020,09:27:44
17,39,1.0,1.0,,,20/03/2020,10:00:40
18,54,1.0,1.0,,,20/03/2020,10:38:09
19,60,1.0,1.0,,,21/03/2020,11:01:21
20,75,1.0,3.0,,,22/03/2020,11:36:17
21,85,1.0,3.0,,,23/03/2020,12:00:05
22,89,1.0,3.0,,,23/03/2020,12:31:26
23,90,1.0,3.0,,,24/03/2020,10:00:15
24,114,1.0,3.0,,,24/03/2020,12:19:58
25,114,1.0,4.0,,,24/03/2020,22:52:32
26,119,1.0,4.0,,,25/03/2020,12:22:49
27,119,2.0,4.0,,,25/03/2020,14:19:04
28,171,2.0,4.0,,,25/03/2020,14:54:58
29,173,2.0,4.0,,,25/03/2020,15:41:36
30,173,2.0,5.0,,,25/03/2020,16:23:27
31,173,2.0,6.0,,,26/03/2020,10:30:43
32,200,2.0,6.0,,,26/03/2020,14:43:41
33,197,2.0,6.0,,,26/03/2020,22:12:43
34,197,2.0,5.0,,,27/03/2020,01:13:13
35,227,2.0,6.0,,,27/03/2020,09:53:19
36,227,2.0,7.0,,,27/03/2020,23:46:34
37,257,2.0,8.0,,,28/03/2020,19:32:34
38,278,2.0,8.0,,,28/03/2020,22:21:04
39,312,2.0,8.0,,,29/03/2020,19:09:28
40,312,3.0,9.0,,,30/03/2020,23:04:02
41,362,3.0,10.0,,,30/03/2020,23:58:38
42,362,3.0,9.0,,,31/03/2020,02:01:52
43,362,3.0,10.0,,,31/03/2020,14:24:22
44,394,3.0,10.0,,,31/03/2020,21:41:28
45,394,5.0,10.0,,,01/04/2020,16:47:40
46,423,5.0,12.0,,,01/04/2020,17:06:29
47,455,5.0,14.0,,,02/04/2020,15:51:12
48,495,5.0,18.0,,,03/04/2020,15:49:54
49,495,5.0,18.0,5736.0,,04/04/2020,03:58:25
50,553,5.0,19.0,6485.0,,04/04/2020,17:03:36
51,553,5.0,18.0,6485.0,,04/04/2020,19:53:16
52,553,5.0,19.0,6485.0,,05/04/2020,11:59:51
53,574,5.0,22.0,7145.0,,05/04/2020,18:50:04
54,596,5.0,22.0,7725.0,,06/04/2020,19:30:50
55,596,25.0,22.0,7725.0,,07/04/2020,15:42:48
56,623,25.0,23.0,7725.0,,07/04/2020,18:56:42
57,623,25.0,23.0,8274.0,,07/04/2020,18:59:53
58,628,25.0,24.0,8878.0,,08/04/2020,20:43:09
59,643,25.0,25.0,9570.0,,09/04/2020,17:56:23
60,671,25.0,25.0,10087.0,,10/04/2020,18:10:49
61,671,43.0,25.0,10087.0,,11/04/2020,09:00:08
62,685,43.0,28.0,10676.0,,11/04/2020,17:15:32
63,707,43.0,31.0,11238.0,,12/04/2020,19:00:06
64,726,43.0,34.0,11825.0,,13/04/2020,11:07:56
65,747,43.0,34.0,12415.0,,14/04/2020,19:00:05
66,780,43.0,35.0,13137.0,,15/04/2020,20:00:03
67,822,43.0,37.0,13930.0,,16/04/2020,23:37:57
68,864,43.0,37.0,14640.0,,17/04/2020,22:00:04
69,866,43.0,37.0,14640.0,,18/04/2020,17:59:20
70,866,43.0,37.0,15332.0,,19/04/2020,07:00:05
71,879,43.0,38.0,16098.0,,19/04/2020,19:47:39
72,879,148.0,38.0,16098.0,,20/04/2020,14:24:35
73,884,148.0,38.0,17287.0,,20/04/2020,20:00:06
74,879,148.0,38.0,16098.0,,21/04/2020,00:00:05
75,884,148.0,38.0,17287.0,,21/04/2020,00:07:03
76,901,170.0,38.0,18165.0,,22/04/2020,00:00:07
77,909,190.0,38.0,18861.0,,22/04/2020,20:48:12
78,918,190.0,38.0,19411.0,,23/04/2020,22:02:23
79,922,194.0,38.0,19849.0,,24/04/2020,22:52:58
80,939,207.0,38.0,20408.0,,25/04/2020,17:30:05
81,949,216.0,38.0,20818.0,,26/04/2020,21:30:35
82,967,279.0,39.0,21081.0,,28/04/2020,02:05:53
83,975,279.0,40.0,21477.0,,28/04/2020,22:29:04
84,980,294.0,40.0,220260.0,,29/04/2020,20:19:03
85,980,294.0,40.0,22062.0,,29/04/2020,22:30:58
86,994,305.0,41.0,22957.0,,30/04/2020,22:21:21
87,998,316.0,41.0,23526.0,,01/05/2020,22:45:00
88,1009,334.0,42.0,24055.0,,02/05/2020,22:19:45
89,1009,323.0,42.0,24055.0,,02/05/2020,22:21:45
90,1013,328.0,42.0,24406.0,,03/05/2020,23:01:04
91,1018,406.0,43.0,24853.0,,04/05/2020,22:03:37
92,1022,482.0,43.0,25165.0,,05/05/2020,22:31:03
93,1025,591.0,43.0,25555.0,,06/05/2020,23:51:30
94,1026,600.0,44.0,25967.0,,07/05/2020,20:30:27
95,1025,591.0,43.0,25555.0,,07/05/2020,21:17:20
96,1026,600.0,44.0,25967.0,,08/05/2020,00:30:45
97,1030,638.0,45.0,27420.0,,09/05/2020,00:30:21
98,1032,660.0,45.0,29297.0,,10/05/2020,01:00:13
99,1032,700.0,45.0,32818.0,,11/05/2020,00:30:00
100,1032,727.0,45.0,33266.0,,12/05/2020,15:39:30
101,1032,740.0,45.0,33880.0,,13/05/2020,01:08:31
102,1032,759.0,45.0,34323.0,,14/05/2020,00:32:43
103,1032,770.0,45.0,36523.0,,14/05/2020,22:15:16
104,1035,802.0,45.0,37862.0,11802774.0,16/05/2020,00:03:01
105,1037,807.0,45.0,37862.0,11803112.0,17/05/2020,00:30:05
106,1037,807.0,45.0,39778.0,11803112.0,17/05/2020,01:30:23
107,1037,816.0,45.0,40559.0,11803449.0,18/05/2020,00:00:39
108,1043,819.0,46.0,41620.0,11803787.0,19/05/2020,01:10:18
109,1044,826.0,47.0,41620.0,11804125.0,20/05/2020,00:09:48
110,1045,862.0,47.0,43723.0,11804462.0,21/05/2020,07:23:54
111,1046,883.0,47.0,45308.0,11804800.0,22/05/2020,01:00:10
112,1048,903.0,47.0,46628.0,11805138.0,23/05/2020,01:02:33
113,1048,914.0,48.0,47649.0,11805475.0,24/05/2020,01:00:10
114,1051,917.0,48.0,47816.0,11805813.0,25/05/2020,00:30:26
115,1051,919.0,48.0,48476.0,11806151.0,26/05/2020,00:02:46
116,1051,929.0,48.0,49113.0,11806488.0,27/05/2020,01:55:04
117,1068,938.0,48.0,49951.0,11806826.0,28/05/2020,09:54:27
118,1071,946.0,48.0,50380.0,11807164.0,29/05/2020,09:29:25
119,1076,950.0,48.0,51171.0,11807501.0,30/05/2020,10:08:28
120,1077,960.0,48.0,51881.0,11807839.0,31/05/2020,10:05:49
121,1084,964.0,48.0,52503.0,11808177.0,01/06/2020,09:41:16
122,1086,965.0,48.0,52874.0,11808514.0,02/06/2020,10:28:52
123,1087,965.0,48.0,53161.0,11808852.0,03/06/2020,10:49:15
124,1087,965.0,49.0,53161.0,11808852.0,03/06/2020,12:00:27
125,1087,968.0,49.0,53539.0,11809190.0,04/06/2020,09:46:15
126,1087,969.0,49.0,54150.0,11809527.0,05/06/2020,09:33:58
127,1087,977.0,49.0,54653.0,11809865.0,06/06/2020,10:02:51
128,1087,982.0,49.0,55358.0,11810203.0,07/06/2020,09:48:12
129,1087,982.0,49.0,55419.0,11810540.0,08/06/2020,09:34:21
130,1087,983.0,49.0,55891.0,11811216.0,10/06/2020,10:43:21
131,1087,989.0,49.0,56210.0,11811553.0,11/06/2020,11:01:40
132,1093,995.0,49.0,57273.0,11811891.0,12/06/2020,15:32:37
133,1094,995.0,49.0,57273.0,11812229.0,13/06/2020,19:32:47
134,1094,995.0,49.0,58770.0,11812229.0,13/06/2020,22:31:09
135,1096,998.0,49.0,59887.0,11812566.0,14/06/2020,13:30:58
136,1110,999.0,49.0,60872.0,11812904.0,15/06/2020,12:48:49
137,1125,1002.0,49.0,61430.0,11813242.0,16/06/2020,12:54:27
138,1128,1004.0,50.0,62922.0,11813579.0,17/06/2020,13:31:39
139,1132,1006.0,50.0,63631.0,11813917.0,18/06/2020,14:00:12
140,1146,1014.0,50.0,64910.0,11814255.0,19/06/2020,12:33:04
141,1156,1017.0,50.0,65515.0,11814592.0,20/06/2020,10:26:18
