,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,10/03/2020,22:40:20
1,2,,,,,13/03/2020,06:37:56
2,5,,,,,13/03/2020,16:18:45
3,6,,,,,14/03/2020,22:08:07
4,18,,,,,15/03/2020,22:00:42
5,47,,,,,16/03/2020,22:13:52
6,98,,1.0,,,17/03/2020,21:14:56
7,191,,2.0,,,18/03/2020,20:27:42
8,192,,3.0,,,19/03/2020,15:53:36
9,359,,4.0,,,19/03/2020,21:35:45
10,670,,4.0,,,20/03/2020,20:19:01
11,670,,9.0,,,20/03/2020,21:10:29
12,947,,21.0,,,21/03/2020,20:27:29
13,1256,,30.0,,,22/03/2020,19:22:03
14,1236,,30.0,,,22/03/2020,19:28:20
15,1529,,37.0,,,23/03/2020,20:48:48
16,1872,,44.0,,,24/03/2020,19:32:48
17,1874,,44.0,,,25/03/2020,13:44:28
18,1872,26.0,44.0,,,25/03/2020,17:13:19
19,2433,26.0,59.0,,,25/03/2020,21:04:46
20,3629,26.0,75.0,,,26/03/2020,19:53:33
21,5698,42.0,92.0,,,27/03/2020,16:58:09
22,5698,42.0,108.0,,,28/03/2020,17:09:08
23,7402,42.0,108.0,,,28/03/2020,17:10:50
24,7402,70.0,108.0,,,28/03/2020,19:43:39
25,9217,105.0,131.0,,,29/03/2020,16:42:02
26,10827,105.0,168.0,,,30/03/2020,16:35:12
27,10827,162.0,168.0,,,30/03/2020,18:26:43
28,13531,243.0,214.0,,,31/03/2020,17:05:56
29,15679,333.0,277.0,,,01/04/2020,16:59:45
30,18135,415.0,356.0,,,02/04/2020,16:37:29
31,20921,484.0,425.0,,,03/04/2020,16:45:29
32,20921,484.0,425.0,141716.0,,04/04/2020,03:58:25
33,23934,786.0,501.0,161380.0,,04/04/2020,17:27:07
34,27069,1042.0,574.0,181445.0,,05/04/2020,17:30:38
35,30217,1326.0,649.0,202845.0,,06/04/2020,17:07:03
36,34109,1582.0,725.0,222868.0,,07/04/2020,16:55:48
37,34109,1582.0,725.0,228868.0,,07/04/2020,17:09:17
38,34109,1582.0,725.0,222868.0,,07/04/2020,19:06:28
39,34109,1582.0,725.0,228868.0,,07/04/2020,21:00:12
40,34109,1582.0,725.0,222868.0,,08/04/2020,07:01:35
41,38226,1846.0,812.0,247768.0,,08/04/2020,17:26:19
42,42282,2142.0,908.0,276338.0,,09/04/2020,16:33:10
43,47029,2423.0,1006.0,307210.0,,10/04/2020,17:28:43
44,52167,2965.0,1101.0,340380.0,,11/04/2020,17:00:04
45,56956,3446.0,1198.0,376100.0,,12/04/2020,17:00:08
46,61049,3957.0,1296.0,410556.0,,13/04/2020,11:07:56
47,65111,4799.0,1403.0,443626.0,,14/04/2020,17:22:56
48,69392,5674.0,1518.0,477716.0,,15/04/2020,17:36:51
49,74193,7089.0,1643.0,518143.0,,16/04/2020,16:46:01
50,78546,8631.0,1769.0,558413.0,,17/04/2020,15:00:06
51,82329,10453.0,1890.0,598933.0,,18/04/2020,17:00:04
52,86306,11976.0,2017.0,634277.0,,19/04/2020,16:00:05
53,90980,13430.0,2140.0,673980.0,,20/04/2020,18:00:06
54,95591,14918.0,2259.0,713409.0,,21/04/2020,17:00:06
55,98674,16477.0,2376.0,750944.0,,22/04/2020,17:00:04
56,101790,18491.0,2491.0,791906.0,,23/04/2020,17:00:34
57,104912,21737.0,2600.0,830257.0,,24/04/2020,19:30:20
58,107773,25582.0,2706.0,868565.0,,25/04/2020,17:30:05
59,110130,29140.0,2805.0,898742.0,,26/04/2020,14:39:02
60,112261,33791.0,2900.0,918885.0,,28/04/2020,02:05:53
61,114653,33791.0,2992.0,948115.0,,28/04/2020,16:38:23
62,114653,38809.0,2992.0,948115.0,,28/04/2020,18:17:10
63,117589,44022.0,3081.0,991613.0,,29/04/2020,16:35:36
64,117589,44040.0,3081.0,991613.0,,29/04/2020,22:30:58
65,120204,48886.0,3174.0,1033617.0,,30/04/2020,16:22:56
66,122392,53808.0,3258.0,1075048.0,,01/05/2020,16:51:59
67,124375,58259.0,3336.0,1111366.0,,02/05/2020,16:40:28
68,126045,63151.0,3397.0,1135367.0,,03/05/2020,16:30:30
69,127659,68166.0,3461.0,1171138.0,,04/05/2020,17:36:57
70,129491,73285.0,3520.0,1204421.0,,05/05/2020,17:53:59
71,131744,78202.0,3584.0,1234724.0,,06/05/2020,16:30:57
72,133721,82984.0,3641.0,1265119.0,,07/05/2020,17:00:05
73,135569,86396.0,3689.0,1298806.0,,07/05/2020,20:30:27
74,133721,82984.0,3641.0,1265119.0,,07/05/2020,21:17:20
75,135569,86396.0,3689.0,1298806.0,,08/05/2020,17:01:52
76,137115,89480.0,3739.0,1334411.0,,09/05/2020,17:03:04
77,138657,92691.0,3786.0,1370598.0,,10/05/2020,16:23:55
78,139771,95780.0,3841.0,1403320.0,,11/05/2020,17:46:23
79,141475,98889.0,3894.0,1440671.0,,12/05/2020,16:55:59
80,143114,101715.0,3952.0,1474003.0,,13/05/2020,17:26:38
81,144749,104030.0,4007.0,1508824.0,,14/05/2020,22:15:16
82,146457,106133.0,4055.0,1547389.0,84220162.0,15/05/2020,17:21:00
83,148067,108137.0,4096.0,1589625.0,84222640.0,16/05/2020,17:10:23
84,149435,109962.0,4140.0,1624994.0,84225118.0,17/05/2020,17:24:15
85,150593,111577.0,4171.0,1650135.0,84227597.0,18/05/2020,17:24:34
86,151615,112895.0,4199.0,1675517.0,84230075.0,19/05/2020,16:57:23
87,152587,113987.0,4222.0,1696355.0,84232553.0,20/05/2020,18:02:04
88,153548,114990.0,4249.0,1729988.0,84235031.0,21/05/2020,17:07:19
89,154500,116111.0,4276.0,1767495.0,84237509.0,22/05/2020,17:47:37
90,155686,117602.0,4308.0,1807673.0,84239988.0,23/05/2020,17:00:30
91,156827,118694.0,4340.0,1832262.0,84242466.0,24/05/2020,17:32:01
92,157814,120015.0,4369.0,1853754.0,84244944.0,25/05/2020,17:22:18
93,158762,121507.0,4397.0,1873607.0,84247422.0,26/05/2020,17:28:09
94,159797,122793.0,4431.0,1894650.0,84249900.0,27/05/2020,18:00:09
95,160979,124369.0,4461.0,1928209.0,84252379.0,28/05/2020,18:26:03
96,162120,125963.0,4489.0,1964364.0,84254857.0,29/05/2020,17:20:48
97,163103,126984.0,4515.0,2003594.0,84257335.0,30/05/2020,17:56:56
98,163942,127973.0,4540.0,2039194.0,84259813.0,31/05/2020,17:54:11
99,164769,128947.0,4563.0,2070719.0,84262291.0,01/06/2020,17:33:08
100,165555,129921.0,4585.0,2103044.0,84264770.0,02/06/2020,17:08:16
101,166422,130852.0,4609.0,2155349.0,84267248.0,03/06/2020,17:35:48
102,167410,131778.0,4630.0,2209583.0,84269726.0,04/06/2020,17:53:19
103,168340,133400.0,4648.0,2267412.0,84272204.0,05/06/2020,16:35:04
104,169218,135322.0,4669.0,2303258.0,84274682.0,06/06/2020,18:16:19
105,170132,137969.0,4692.0,2338593.0,84277161.0,07/06/2020,17:10:51
106,171121,141380.0,4711.0,2377954.0,84279639.0,08/06/2020,18:00:43
107,172114,144598.0,4729.0,2415179.0,84282117.0,09/06/2020,17:32:33
108,173036,146839.0,4746.0,2451700.0,84284595.0,10/06/2020,17:47:44
109,174023,147860.0,4763.0,2500890.0,84287073.0,11/06/2020,18:07:54
110,175218,149102.0,4778.0,2541903.0,84289552.0,12/06/2020,17:11:01
