,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,23/03/2020,14:18:53
1,2,,,,,26/03/2020,19:53:33
2,4,,,,,28/03/2020,19:23:58
3,5,,,,,30/03/2020,15:02:49
4,6,,,,,01/04/2020,13:54:15
5,5,,,,,02/04/2020,22:06:41
6,5,,1.0,,,05/04/2020,15:08:42
7,8,,1.0,61.0,,06/04/2020,23:07:56
8,9,,1.0,61.0,,11/04/2020,23:40:27
9,9,,1.0,62.0,,11/04/2020,23:56:33
10,10,,1.0,69.0,,13/04/2020,23:00:06
11,10,,1.0,71.0,,15/04/2020,00:01:13
12,11,,1.0,71.0,,16/04/2020,16:22:57
13,11,,1.0,83.0,,16/04/2020,23:37:57
14,11,4.0,1.0,83.0,,22/04/2020,14:49:32
15,12,5.0,1.0,83.0,,27/04/2020,14:32:07
16,12,6.0,1.0,83.0,,04/05/2020,05:30:50
17,12,6.0,1.0,107.0,,04/05/2020,18:06:56
18,12,8.0,1.0,109.0,,07/05/2020,20:30:27
19,12,6.0,1.0,107.0,,07/05/2020,21:17:20
20,12,8.0,1.0,109.0,,08/05/2020,15:31:09
21,12,10.0,1.0,109.0,,13/05/2020,09:28:29
22,12,10.0,1.0,126.0,38659.0,23/05/2020,20:00:04
23,12,10.0,1.0,129.0,38665.0,27/05/2020,08:01:11
24,12,11.0,1.0,129.0,38670.0,31/05/2020,01:01:51
25,12,11.0,1.0,153.0,38672.0,01/06/2020,08:26:59
26,12,11.0,1.0,192.0,38679.0,06/06/2020,10:02:51
27,12,11.0,1.0,245.0,38691.0,14/06/2020,09:49:17
28,12,11.0,1.0,366.0,38698.0,19/06/2020,10:02:46
29,14,11.0,1.0,366.0,38701.0,21/06/2020,15:53:58
30,14,11.0,1.0,416.0,38702.0,22/06/2020,14:32:14
31,15,11.0,1.0,444.0,38706.0,25/06/2020,03:31:11
32,16,11.0,1.0,444.0,38708.0,26/06/2020,08:53:35
33,16,11.0,1.0,562.0,38709.0,27/06/2020,09:53:34
34,28,11.0,1.0,608.0,38711.0,28/06/2020,10:01:42
35,41,11.0,1.0,647.0,38712.0,29/06/2020,08:01:52
36,41,11.0,2.0,652.0,38713.0,30/06/2020,08:39:20
37,42,11.0,2.0,690.0,38715.0,01/07/2020,07:28:58
38,44,11.0,2.0,690.0,38718.0,03/07/2020,02:30:04
39,45,11.0,2.0,690.0,38719.0,04/07/2020,08:57:20
40,47,11.0,2.0,775.0,38721.0,05/07/2020,09:02:41
41,48,11.0,2.0,790.0,38722.0,06/07/2020,07:13:51
42,49,11.0,2.0,790.0,38723.0,07/07/2020,07:13:53
43,55,11.0,2.0,823.0,38725.0,08/07/2020,06:30:34
44,66,11.0,2.0,870.0,38728.0,10/07/2020,06:32:12
45,69,11.0,2.0,906.0,38729.0,11/07/2020,17:17:47
46,71,11.0,2.0,943.0,38731.0,12/07/2020,02:49:32
47,72,11.0,2.0,946.0,38732.0,13/07/2020,08:42:03
48,72,12.0,2.0,946.0,38733.0,14/07/2020,23:59:35
49,74,12.0,2.0,946.0,38738.0,17/07/2020,03:34:15
50,75,12.0,2.0,979.0,38739.0,18/07/2020,06:41:35
51,75,22.0,2.0,990.0,38741.0,19/07/2020,02:24:52
52,81,22.0,2.0,1016.0,38742.0,20/07/2020,10:07:35
53,82,22.0,2.0,1047.0,38745.0,22/07/2020,16:22:06
54,90,26.0,2.0,1075.0,38748.0,24/07/2020,02:32:34
55,92,28.0,2.0,1103.0,38749.0,25/07/2020,11:26:48
56,97,35.0,2.0,1103.0,38751.0,26/07/2020,10:55:16
57,99,36.0,2.0,1121.0,38753.0,28/07/2020,03:28:38
58,99,37.0,2.0,1125.0,38755.0,29/07/2020,01:03:35
59,104,37.0,2.0,1168.0,38756.0,30/07/2020,04:07:09
60,107,37.0,2.0,1179.0,38758.0,31/07/2020,08:47:40
61,114,38.0,2.0,1216.0,38759.0,01/08/2020,07:14:00
62,116,38.0,2.0,1220.0,38762.0,03/08/2020,04:20:27
63,116,38.0,2.0,1222.0,38765.0,05/08/2020,02:43:05
64,129,39.0,2.0,1252.0,38766.0,06/08/2020,03:12:15
65,141,39.0,2.0,1271.0,38768.0,07/08/2020,02:04:49
66,170,39.0,2.0,1342.0,38769.0,08/08/2020,04:09:03
67,197,39.0,2.0,1342.0,38771.0,09/08/2020,07:56:13
68,216,39.0,2.0,1470.0,38772.0,10/08/2020,03:12:03
69,224,39.0,2.0,1520.0,38775.0,12/08/2020,07:13:46
70,241,46.0,2.0,1567.0,38776.0,13/08/2020,02:59:21
71,258,52.0,2.0,1631.0,38778.0,14/08/2020,02:54:12
72,274,54.0,2.0,1672.0,38779.0,15/08/2020,03:15:45
73,298,55.0,2.0,1840.0,38781.0,16/08/2020,05:05:39
74,298,55.0,2.0,1841.0,38784.0,18/08/2020,02:51:40
75,315,56.0,2.0,1892.0,38785.0,19/08/2020,03:00:27
76,327,56.0,2.0,1940.0,38786.0,20/08/2020,02:00:52
77,334,102.0,2.0,1949.0,38788.0,21/08/2020,04:33:38
78,347,102.0,2.0,1991.0,38789.0,22/08/2020,04:32:06
79,383,102.0,2.0,2083.0,38791.0,23/08/2020,04:31:19
80,431,102.0,2.0,2160.0,38795.0,26/08/2020,06:01:24
81,464,102.0,3.0,2234.0,38796.0,27/08/2020,02:22:10
82,482,102.0,3.0,2278.0,38798.0,28/08/2020,02:57:16
83,490,148.0,3.0,2367.0,38799.0,29/08/2020,04:48:39
84,505,148.0,3.0,2425.0,38801.0,30/08/2020,23:59:39
85,507,200.0,3.0,2429.0,38802.0,31/08/2020,05:49:32
