,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,21/03/2020,21:15:04
1,9,,,,,23/03/2020,21:08:58
2,14,,,,,25/03/2020,11:15:13
3,18,,,,,27/03/2020,07:55:13
4,23,,,,,27/03/2020,22:17:36
5,30,,,,,28/03/2020,20:26:15
6,33,,,,,29/03/2020,19:30:45
7,44,,,,,31/03/2020,19:31:10
8,45,,,,,02/04/2020,18:08:37
9,48,,,,,03/04/2020,19:37:07
10,48,,,2629.0,,04/04/2020,20:00:35
11,52,,,2629.0,,05/04/2020,20:20:02
12,52,,,3160.0,,06/04/2020,23:22:56
13,52,,,3310.0,,07/04/2020,18:56:42
14,53,,,3310.0,,08/04/2020,18:33:50
15,53,3.0,,3310.0,,11/04/2020,12:53:13
16,53,3.0,,4301.0,,11/04/2020,17:00:04
17,53,4.0,,4856.0,,11/04/2020,21:00:05
18,54,4.0,,4856.0,,12/04/2020,19:00:06
19,54,4.0,,5025.0,,12/04/2020,21:30:08
20,54,7.0,,5025.0,,13/04/2020,11:07:56
21,54,8.0,,5664.0,,14/04/2020,13:00:13
22,55,8.0,,6661.0,,14/04/2020,22:00:04
23,55,12.0,,6661.0,,15/04/2020,12:48:38
24,55,12.0,,7693.0,,15/04/2020,22:00:02
25,55,20.0,,7693.0,,16/04/2020,23:37:57
26,55,20.0,,8855.0,,17/04/2020,09:00:05
27,56,20.0,,9975.0,,17/04/2020,22:00:04
28,55,20.0,,9975.0,,18/04/2020,03:30:14
29,55,22.0,,11101.0,,18/04/2020,17:59:20
30,55,28.0,,11101.0,,19/04/2020,13:35:55
31,55,28.0,,12565.0,,20/04/2020,07:00:06
32,55,38.0,,12565.0,,20/04/2020,13:32:17
33,56,38.0,,12565.0,,20/04/2020,22:35:11
34,55,38.0,,12565.0,,21/04/2020,00:00:05
35,56,38.0,,12565.0,,21/04/2020,00:07:03
36,56,38.0,,13742.0,,21/04/2020,07:00:08
37,58,38.0,,13742.0,,21/04/2020,12:00:08
38,61,38.0,,13742.0,,21/04/2020,22:20:03
39,61,38.0,,14761.0,,22/04/2020,05:20:38
40,61,41.0,,14761.0,,22/04/2020,09:00:09
41,61,45.0,,14761.0,,22/04/2020,13:54:36
42,63,45.0,,14761.0,,22/04/2020,22:32:10
43,63,46.0,,16057.0,,23/04/2020,07:00:05
44,74,46.0,,16057.0,,23/04/2020,23:58:33
45,74,46.0,,17388.0,,24/04/2020,03:30:38
46,75,46.0,,18454.0,,24/04/2020,22:52:58
47,75,46.0,,18921.0,,25/04/2020,02:30:27
48,75,46.0,,20329.0,,25/04/2020,23:20:59
49,79,46.0,,20329.0,,26/04/2020,22:01:33
50,79,46.0,,22318.0,,27/04/2020,11:40:17
51,79,52.0,,27432.0,,28/04/2020,02:05:53
52,81,52.0,,27432.0,,29/04/2020,22:10:09
53,81,52.0,,29279.0,,29/04/2020,23:51:02
54,83,52.0,,29279.0,,30/04/2020,22:21:21
55,83,52.0,,31350.0,,01/05/2020,03:00:08
56,83,52.0,,31364.0,,01/05/2020,09:30:54
57,85,52.0,,31364.0,,01/05/2020,23:24:25
58,85,52.0,,33818.0,,02/05/2020,00:17:48
59,88,52.0,,36302.0,,02/05/2020,22:19:45
60,89,52.0,,39232.0,,03/05/2020,21:59:28
61,89,55.0,,39232.0,,04/05/2020,13:30:05
62,97,55.0,,41478.0,,04/05/2020,22:27:58
63,98,55.0,,41478.0,,05/05/2020,22:31:03
64,98,55.0,,44110.0,,06/05/2020,03:30:14
65,100,55.0,,44110.0,,06/05/2020,21:00:44
66,100,55.0,,47620.0,,07/05/2020,04:30:46
67,101,55.0,,50711.0,,07/05/2020,20:30:27
