,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,03/03/2020,09:21:35
1,3,,,,,12/03/2020,21:40:10
2,3,,1.0,,,13/03/2020,14:31:30
3,5,,1.0,,,16/03/2020,08:28:24
4,7,,1.0,,,16/03/2020,20:50:10
5,14,,2.0,,,17/03/2020,18:51:29
6,16,,2.0,,,18/03/2020,20:56:43
7,18,,2.0,,,19/03/2020,15:53:36
8,21,,3.0,,,19/03/2020,18:51:51
9,26,,3.0,,,19/03/2020,22:52:17
10,26,1.0,3.0,,,20/03/2020,10:17:14
11,29,1.0,3.0,,,20/03/2020,18:55:44
12,39,1.0,3.0,,,20/03/2020,20:19:01
13,41,1.0,3.0,,,20/03/2020,21:28:23
14,47,1.0,3.0,,,21/03/2020,19:45:31
15,47,8.0,3.0,,,22/03/2020,14:01:28
16,47,1.0,3.0,,,22/03/2020,15:00:42
17,63,1.0,3.0,,,22/03/2020,19:57:53
18,73,1.0,3.0,,,22/03/2020,21:30:16
19,84,1.0,3.0,,,24/03/2020,08:07:03
20,97,1.0,3.0,,,24/03/2020,11:08:20
21,84,1.0,3.0,,,24/03/2020,14:27:07
22,97,1.0,3.0,,,24/03/2020,15:21:21
23,102,1.0,3.0,,,24/03/2020,23:56:14
24,113,1.0,3.0,,,25/03/2020,07:42:01
25,113,1.0,4.0,,,25/03/2020,09:30:29
26,116,1.0,4.0,,,25/03/2020,14:54:58
27,145,1.0,5.0,,,25/03/2020,21:04:46
28,156,1.0,5.0,,,26/03/2020,08:30:04
29,162,1.0,5.0,,,26/03/2020,12:16:23
30,196,1.0,5.0,,,26/03/2020,20:56:30
31,218,4.0,5.0,,,27/03/2020,08:18:01
32,218,5.0,5.0,,,27/03/2020,10:29:23
33,226,4.0,5.0,,,27/03/2020,10:57:20
34,226,5.0,5.0,,,27/03/2020,12:08:48
35,310,5.0,5.0,,,27/03/2020,21:45:51
36,311,5.0,8.0,,,28/03/2020,09:08:24
37,356,5.0,9.0,,,28/03/2020,21:16:45
38,418,5.0,9.0,,,29/03/2020,07:36:32
39,475,6.0,10.0,,,29/03/2020,21:19:37
40,480,6.0,11.0,,,30/03/2020,10:45:35
41,548,8.0,13.0,,,30/03/2020,21:28:42
42,549,8.0,13.0,,,31/03/2020,07:35:12
43,618,8.0,13.0,,,31/03/2020,19:53:18
44,645,10.0,13.0,,,31/03/2020,20:11:09
45,645,10.0,17.0,,,31/03/2020,20:39:01
46,669,10.0,17.0,,,01/04/2020,07:09:08
47,794,13.0,20.0,,,01/04/2020,19:40:14
48,804,13.0,20.0,,,02/04/2020,07:18:21
49,897,19.0,22.0,,,02/04/2020,22:06:41
50,942,19.0,23.0,,,03/04/2020,07:20:13
51,1072,22.0,27.0,,,03/04/2020,19:37:07
52,1072,22.0,27.0,3178.0,,04/04/2020,03:58:25
53,1096,23.0,28.0,4404.0,,04/04/2020,07:30:42
54,1096,23.0,28.0,5040.0,,04/04/2020,08:29:36
55,1115,23.0,28.0,5040.0,,04/04/2020,18:01:10
56,1225,25.0,32.0,5040.0,,04/04/2020,19:22:20
57,1251,25.0,32.0,5493.0,,05/04/2020,07:48:08
58,1308,28.0,37.0,5493.0,,05/04/2020,19:33:36
59,1319,28.0,38.0,5864.0,,06/04/2020,06:19:15
60,1462,28.0,45.0,6385.0,,07/04/2020,06:54:48
61,1668,35.0,52.0,7205.0,,08/04/2020,06:52:05
62,1892,45.0,57.0,7205.0,,09/04/2020,06:39:32
63,1892,45.0,57.0,7901.0,,09/04/2020,06:43:53
64,1892,45.0,57.0,20608.0,,09/04/2020,08:24:07
65,2203,61.0,69.0,20608.0,,10/04/2020,06:47:54
66,2203,61.0,69.0,23522.0,,10/04/2020,07:49:25
67,2511,79.0,73.0,23522.0,,11/04/2020,06:45:05
68,2511,79.0,73.0,26577.0,,11/04/2020,12:32:43
69,2777,89.0,83.0,26577.0,,12/04/2020,07:00:05
70,2777,89.0,83.0,30314.0,,12/04/2020,10:00:05
71,3102,97.0,93.0,32496.0,,13/04/2020,11:07:56
