,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,4,,0.0,,,29/01/2020,19:56:57
1,5,,,,,02/02/2020,16:27:45
2,7,,,,,08/02/2020,14:51:42
3,7,1.0,,,,10/02/2020,15:41:16
4,8,1.0,,,,10/02/2020,19:40:00
5,8,3.0,,,,16/02/2020,03:02:15
6,9,3.0,,,,16/02/2020,22:14:07
7,11,3.0,,,,21/02/2020,14:27:35
8,13,3.0,,,,22/02/2020,16:28:01
9,19,5.0,,,,27/02/2020,19:25:12
10,21,5.0,,,,29/02/2020,19:20:46
11,27,5.0,,,,03/03/2020,21:09:39
12,28,5.0,,,,04/03/2020,21:19:40
13,29,5.0,,,,06/03/2020,16:53:41
14,45,5.0,,,,06/03/2020,22:30:56
15,45,7.0,,,,07/03/2020,01:03:15
16,59,7.0,,,,09/03/2020,12:42:03
17,59,12.0,,,,09/03/2020,15:26:57
18,74,12.0,,,,10/03/2020,11:21:35
19,74,17.0,,,,11/03/2020,12:13:51
20,85,17.0,,,,12/03/2020,12:36:57
21,85,20.0,,,,12/03/2020,18:10:04
22,86,20.0,,,,15/03/2020,08:45:12
23,98,20.0,,,,15/03/2020,17:41:57
24,98,23.0,,,,16/03/2020,03:04:14
25,98,26.0,,,,17/03/2020,11:50:22
26,113,26.0,,,,17/03/2020,20:37:32
27,140,31.0,,,,19/03/2020,15:53:36
28,140,31.0,2.0,,,20/03/2020,21:01:10
29,153,31.0,2.0,,,21/03/2020,14:00:04
30,153,38.0,2.0,,,21/03/2020,14:42:22
31,198,41.0,2.0,,,23/03/2020,13:33:23
32,248,41.0,2.0,,,24/03/2020,16:30:53
33,248,45.0,2.0,,,24/03/2020,16:44:18
34,333,45.0,2.0,,,25/03/2020,13:14:07
35,333,7.0,2.0,,,25/03/2020,13:29:16
36,333,52.0,2.0,,,25/03/2020,13:44:28
37,405,52.0,2.0,,,27/03/2020,18:00:27
38,468,52.0,2.0,,,28/03/2020,15:03:57
39,468,55.0,2.0,,,29/03/2020,07:14:58
40,570,58.0,2.0,,,29/03/2020,16:42:02
41,570,58.0,3.0,,,29/03/2020,17:19:08
42,611,61.0,5.0,,,30/03/2020,13:40:16
43,664,61.0,6.0,,,31/03/2020,13:41:38
44,814,61.0,8.0,,,01/04/2020,19:05:12
45,1024,96.0,8.0,,,02/04/2020,22:06:41
46,1264,108.0,9.0,,,03/04/2020,18:16:12
47,1264,108.0,9.0,220000.0,,04/04/2020,03:58:25
48,1505,108.0,9.0,220000.0,,04/04/2020,13:23:58
49,1505,108.0,10.0,220000.0,,04/04/2020,13:34:58
50,1505,125.0,10.0,220000.0,,04/04/2020,14:44:54
51,1798,144.0,10.0,220000.0,,05/04/2020,17:55:13
52,1799,144.0,10.0,220000.0,,05/04/2020,21:26:51
53,2076,167.0,11.0,220000.0,,06/04/2020,13:13:44
54,2359,186.0,12.0,220000.0,,07/04/2020,18:21:02
55,2359,186.0,12.0,539195.0,,08/04/2020,13:11:03
