,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,0.0,,,31/01/2020,21:49:27
1,2,,,,,02/02/2020,16:27:45
2,3,,,,,06/02/2020,23:02:52
3,4,,,,,10/02/2020,10:07:48
4,8,,,,,10/02/2020,15:41:16
5,8,1.0,,,,11/02/2020,18:49:21
6,9,1.0,,,,13/02/2020,17:47:19
7,9,8.0,,,,16/02/2020,03:02:15
8,13,8.0,,,,23/02/2020,20:17:52
9,15,8.0,,,,27/02/2020,09:26:55
10,16,8.0,,,,27/02/2020,19:25:12
11,17,8.0,,,,28/02/2020,10:03:00
12,19,8.0,,,,28/02/2020,10:05:53
13,20,8.0,,,,28/02/2020,20:48:39
14,23,8.0,,,,29/02/2020,19:20:46
15,35,8.0,,,,01/03/2020,14:07:05
16,36,8.0,,,,01/03/2020,20:04:42
17,40,8.0,,,,02/03/2020,15:12:11
18,41,8.0,,,,03/03/2020,09:51:09
19,40,8.0,,,,03/03/2020,12:38:28
20,51,8.0,,,,03/03/2020,14:30:34
21,53,8.0,,,,04/03/2020,08:46:28
22,85,8.0,,,,04/03/2020,14:44:40
23,87,8.0,,,,04/03/2020,20:15:15
24,88,8.0,,,,05/03/2020,09:00:27
25,90,8.0,,,,05/03/2020,10:24:28
26,115,8.0,,,,05/03/2020,16:42:59
27,115,8.0,1.0,,,05/03/2020,18:38:17
28,116,8.0,1.0,,,05/03/2020,19:54:17
29,116,18.0,1.0,,,05/03/2020,21:15:12
30,163,18.0,2.0,,,06/03/2020,14:17:32
31,164,18.0,2.0,,,06/03/2020,19:57:53
32,206,18.0,2.0,,,07/03/2020,16:20:51
33,209,18.0,2.0,,,07/03/2020,20:46:41
34,273,18.0,2.0,,,08/03/2020,14:22:42
35,273,18.0,3.0,,,08/03/2020,22:11:11
36,278,18.0,3.0,,,09/03/2020,02:51:22
37,280,18.0,3.0,,,09/03/2020,11:21:23
38,321,18.0,3.0,,,09/03/2020,15:26:57
39,321,18.0,4.0,,,09/03/2020,15:56:41
40,321,18.0,5.0,,,09/03/2020,18:26:54
