,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,4,,,,,14/03/2020,01:11:47
1,6,,,,,15/03/2020,01:41:42
2,8,,,,,16/03/2020,07:40:27
3,29,,,,,16/03/2020,23:26:04
4,50,,,,,18/03/2020,00:34:34
5,58,,,,,18/03/2020,22:01:57
6,79,,,,,19/03/2020,00:03:08
7,94,,,,,20/03/2020,01:48:37
8,110,,,,,20/03/2020,23:30:05
9,135,,,,,22/03/2020,04:00:35
10,158,,,,,23/03/2020,00:00:05
11,162,,,,,24/03/2020,00:00:43
12,189,,,,,24/03/2020,23:56:14
13,217,,,,,25/03/2020,23:50:46
14,238,,,,,27/03/2020,00:30:39
15,274,,,,,28/03/2020,02:31:47
16,304,,,,,29/03/2020,00:09:49
17,304,,1.0,,,29/03/2020,00:52:33
18,310,,1.0,,,30/03/2020,15:42:22
19,320,25.0,1.0,,,30/03/2020,23:58:38
20,338,41.0,1.0,,,31/03/2020,23:49:04
21,338,41.0,2.0,,,01/04/2020,13:54:15
22,350,62.0,2.0,,,02/04/2020,00:00:23
23,350,62.0,4.0,,,02/04/2020,13:39:08
24,369,68.0,4.0,,,03/04/2020,01:18:00
25,386,86.0,4.0,,,03/04/2020,23:34:36
26,386,86.0,4.0,4786.0,,04/04/2020,03:58:25
27,386,86.0,5.0,4786.0,,04/04/2020,22:22:17
28,400,93.0,5.0,5063.0,,05/04/2020,00:01:12
29,406,104.0,6.0,5208.0,,05/04/2020,23:22:56
30,415,123.0,6.0,5385.0,,07/04/2020,00:02:09
31,424,150.0,7.0,5727.0,,07/04/2020,23:51:10
32,456,192.0,7.0,6175.0,,08/04/2020,23:40:52
33,473,206.0,7.0,6856.0,,10/04/2020,02:20:02
34,494,214.0,7.0,7496.0,,11/04/2020,02:00:11
35,501,224.0,7.0,8114.0,,12/04/2020,05:00:02
36,472,224.0,7.0,8114.0,,12/04/2020,21:30:08
37,480,231.0,7.0,8774.0,,12/04/2020,23:00:24
38,512,231.0,7.0,8774.0,,13/04/2020,00:00:03
39,480,231.0,8.0,8774.0,,13/04/2020,11:07:56
40,483,248.0,8.0,9236.0,,13/04/2020,23:00:06
41,492,260.0,8.0,9236.0,,15/04/2020,00:01:13
42,492,260.0,8.0,9929.0,,15/04/2020,00:40:18
