,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,15/03/2020,06:55:44
1,4,,,,,15/03/2020,20:38:15
2,6,,,,,16/03/2020,06:39:21
3,8,,,,,16/03/2020,15:20:08
4,10,,,,,17/03/2020,08:19:33
5,11,,,,,17/03/2020,12:17:24
6,13,,,,,18/03/2020,05:42:07
7,15,,,,,18/03/2020,10:11:18
8,18,,,,,18/03/2020,19:33:32
9,23,,,,,19/03/2020,06:53:38
10,33,,,,,20/03/2020,08:58:28
11,37,,,,,21/03/2020,07:18:44
12,41,,,,,21/03/2020,14:42:22
13,42,,,,,22/03/2020,05:37:27
14,43,,,,,22/03/2020,14:31:27
15,46,,,,,23/03/2020,05:16:51
16,49,,,,,24/03/2020,05:32:33
17,50,,,,,24/03/2020,11:30:04
18,55,,,,,25/03/2020,07:02:57
19,56,,,,,25/03/2020,12:22:49
20,59,,,,,25/03/2020,17:09:18
21,60,,,,,25/03/2020,18:54:54
22,65,,,,,26/03/2020,07:32:54
23,75,,,,,26/03/2020,19:53:33
24,83,,,,,27/03/2020,06:02:19
25,83,5.0,1.0,,,27/03/2020,06:31:51
26,88,5.0,1.0,,,27/03/2020,15:40:32
27,104,5.0,2.0,,,28/03/2020,06:01:19
28,133,5.0,2.0,,,29/03/2020,06:15:27
29,133,7.0,2.0,,,29/03/2020,07:36:32
30,144,7.0,2.0,,,29/03/2020,16:42:02
31,149,7.0,2.0,,,30/03/2020,11:30:05
32,150,7.0,2.0,,,31/03/2020,02:35:12
33,158,7.0,2.0,,,31/03/2020,07:35:12
34,167,7.0,2.0,,,31/03/2020,13:41:38
35,172,7.0,2.0,,,31/03/2020,19:31:10
36,173,8.0,2.0,,,01/04/2020,05:58:21
37,173,12.0,2.0,,,01/04/2020,12:20:14
38,181,12.0,2.0,,,01/04/2020,17:50:38
39,187,12.0,2.0,,,02/04/2020,06:12:01
40,190,12.0,2.0,,,02/04/2020,07:43:51
41,190,25.0,2.0,,,02/04/2020,12:58:46
42,205,25.0,2.0,,,02/04/2020,22:06:41
43,221,25.0,2.0,,,03/04/2020,05:27:29
44,227,25.0,2.0,,,03/04/2020,18:40:03
45,241,25.0,2.0,,,04/04/2020,08:29:36
46,263,25.0,2.0,,,04/04/2020,13:14:05
47,266,25.0,2.0,,,04/04/2020,17:03:36
48,298,25.0,2.0,,,05/04/2020,06:25:24
49,298,30.0,2.0,,,05/04/2020,12:59:56
50,310,30.0,2.0,,,05/04/2020,18:07:55
51,342,30.0,2.0,,,05/04/2020,19:33:36
52,390,30.0,2.0,,,06/04/2020,05:07:58
53,397,30.0,2.0,,,06/04/2020,16:13:24
54,457,30.0,2.0,,,06/04/2020,18:45:07
55,472,30.0,2.0,,,07/04/2020,06:41:57
56,504,30.0,2.0,,,07/04/2020,11:19:43
57,520,30.0,2.0,,,07/04/2020,23:51:10
58,534,30.0,2.0,,,08/04/2020,06:52:05
