,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,13/03/2020,19:20:32
1,8,,,,,15/03/2020,04:16:41
2,10,,,,,15/03/2020,04:23:41
3,17,,,,,15/03/2020,22:00:42
4,33,,,,,17/03/2020,04:46:53
5,36,,,,,18/03/2020,09:03:01
6,42,,,,,19/03/2020,18:51:51
7,65,1.0,,,,20/03/2020,23:25:10
8,70,1.0,,,,21/03/2020,19:16:52
9,70,15.0,,,,21/03/2020,19:33:45
10,77,15.0,,,,23/03/2020,06:00:51
11,84,15.0,,,,24/03/2020,01:31:50
12,91,15.0,,,,25/03/2020,03:30:15
13,106,15.0,,,,26/03/2020,00:03:28
14,107,15.0,,,,26/03/2020,22:22:42
15,107,15.0,1.0,,,27/03/2020,02:01:42
16,107,31.0,1.0,,,27/03/2020,12:08:48
17,113,31.0,2.0,,,28/03/2020,00:00:49
18,113,39.0,2.0,,,28/03/2020,12:00:14
19,119,39.0,2.0,,,28/03/2020,22:00:08
20,119,39.0,3.0,,,29/03/2020,23:24:59
21,129,39.0,3.0,,,30/03/2020,13:40:16
22,135,39.0,3.0,,,30/03/2020,21:28:42
23,143,41.0,3.0,,,01/04/2020,07:09:08
24,144,43.0,3.0,,,01/04/2020,23:36:45
25,146,43.0,5.0,,,03/04/2020,00:11:04
26,153,52.0,7.0,,,03/04/2020,22:27:02
27,153,52.0,7.0,1779.0,,04/04/2020,07:30:42
28,155,52.0,7.0,1779.0,,04/04/2020,18:01:10
29,159,52.0,7.0,1779.0,,05/04/2020,18:50:04
30,165,65.0,7.0,1779.0,,06/04/2020,23:07:56
31,166,65.0,7.0,1779.0,,07/04/2020,23:51:10
32,167,65.0,9.0,1779.0,,08/04/2020,22:34:33
33,171,84.0,9.0,138282.0,,09/04/2020,18:46:13
34,171,84.0,9.0,139282.0,,09/04/2020,19:38:38
35,175,84.0,9.0,139282.0,,10/04/2020,23:07:56
36,175,84.0,9.0,159597.0,,11/04/2020,02:56:16
37,175,93.0,9.0,181335.0,,11/04/2020,21:03:31
38,181,93.0,9.0,181335.0,,12/04/2020,23:00:24
39,189,110.0,9.0,203108.0,,13/04/2020,23:00:06
40,193,111.0,9.0,203108.0,,15/04/2020,01:30:45
41,193,111.0,9.0,225009.0,,15/04/2020,03:13:15
42,197,111.0,9.0,225009.0,,15/04/2020,04:33:15
43,204,111.0,9.0,268503.0,,16/04/2020,23:37:57
44,227,111.0,9.0,268772.0,,18/04/2020,02:30:04
45,227,113.0,9.0,299714.0,,18/04/2020,02:42:58
46,227,117.0,9.0,299714.0,,18/04/2020,17:59:20
47,256,117.0,9.0,336169.0,,19/04/2020,23:00:27
48,285,117.0,10.0,347236.0,,21/04/2020,00:07:03
49,288,122.0,10.0,347236.0,,22/04/2020,01:00:09
50,298,122.0,10.0,347236.0,,23/04/2020,00:00:05
51,311,126.0,10.0,347236.0,,24/04/2020,01:57:45
52,318,132.0,10.0,394125.0,,24/04/2020,19:30:20
53,323,132.0,10.0,423592.0,,25/04/2020,23:20:59
54,325,137.0,10.0,423592.0,,26/04/2020,23:31:37
55,329,142.0,10.0,440966.0,,28/04/2020,02:05:53
56,331,142.0,10.0,440966.0,,30/04/2020,00:32:12
57,331,142.0,10.0,458737.0,,30/04/2020,00:36:30
