,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,0.0,,,29/01/2020,19:56:57
1,5,,0.0,,,30/01/2020,10:38:35
2,6,,0.0,,,01/02/2020,15:54:49
3,7,,,,,02/02/2020,16:27:45
4,8,1.0,,,,03/02/2020,07:08:53
5,9,1.0,,,,04/02/2020,05:17:06
6,10,3.0,,,,04/02/2020,23:07:01
7,12,3.0,,,,06/02/2020,23:02:52
8,13,3.0,,,,08/02/2020,14:51:42
9,14,3.0,,,,10/02/2020,10:07:48
10,15,3.0,,,,11/02/2020,18:49:21
11,15,6.0,,,,11/02/2020,21:05:12
12,16,7.0,,,,13/02/2020,17:47:19
13,16,14.0,,,,19/02/2020,10:51:12
14,16,15.0,,,,21/02/2020,11:29:14
15,16,14.0,,,,24/02/2020,15:57:52
16,16,15.0,,,,24/02/2020,18:39:06
17,16,16.0,,,,25/02/2020,05:36:57
18,17,16.0,,,,06/03/2020,17:47:32
19,18,16.0,,,,07/03/2020,11:13:05
20,20,16.0,,,,07/03/2020,16:20:51
21,21,16.0,,,,08/03/2020,03:53:53
22,30,16.0,,,,08/03/2020,15:31:26
23,31,16.0,,,,09/03/2020,12:42:03
24,34,16.0,,,,10/03/2020,20:42:04
25,35,16.0,,,,11/03/2020,07:35:33
26,38,16.0,,,,11/03/2020,12:13:51
27,39,16.0,,,,12/03/2020,03:34:39
28,44,16.0,,,,13/03/2020,04:28:36
29,49,16.0,,,,14/03/2020,08:46:05
30,53,16.0,,,,14/03/2020,11:03:36
31,56,16.0,,,,15/03/2020,15:12:18
32,57,16.0,,,,16/03/2020,03:04:14
33,59,16.0,,,,16/03/2020,12:36:27
34,61,16.0,,,,16/03/2020,14:46:44
35,66,16.0,,,,17/03/2020,13:20:44
36,68,16.0,,,,18/03/2020,05:42:07
37,75,16.0,,,,18/03/2020,14:46:58
38,76,16.0,,,,18/03/2020,20:27:42
39,85,16.0,,,,19/03/2020,19:15:23
40,87,16.0,,,,20/03/2020,09:27:44
41,91,17.0,,,,20/03/2020,14:01:10
42,92,17.0,,,,21/03/2020,09:10:06
43,94,17.0,,,,21/03/2020,12:50:09
44,99,17.0,,,,22/03/2020,12:05:43
45,106,17.0,,,,22/03/2020,14:01:28
46,113,17.0,,,,22/03/2020,15:30:12
47,116,17.0,,,,23/03/2020,06:00:51
48,118,17.0,,,,23/03/2020,07:29:02
49,121,17.0,,,,23/03/2020,08:26:37
50,122,17.0,,,,23/03/2020,12:31:26
51,123,17.0,,,,23/03/2020,14:18:53
52,132,17.0,,,,24/03/2020,14:27:07
53,134,17.0,,,,24/03/2020,14:32:31
54,141,17.0,,,,25/03/2020,12:43:28
55,148,17.0,,,,26/03/2020,00:01:26
56,153,17.0,,,,26/03/2020,11:20:38
57,153,20.0,,,,26/03/2020,14:43:41
58,163,20.0,,,,27/03/2020,12:08:48
59,169,20.0,,,,28/03/2020,02:31:47
60,169,21.0,,,,28/03/2020,11:02:05
61,174,21.0,,,,28/03/2020,12:00:14
62,179,21.0,,,,29/03/2020,01:50:31
63,188,21.0,,,,29/03/2020,12:34:15
64,188,25.0,,,,29/03/2020,16:55:59
65,194,25.0,,,,30/03/2020,00:13:57
66,194,52.0,,,,30/03/2020,05:24:45
67,203,52.0,,,,30/03/2020,11:50:14
68,203,55.0,,,,30/03/2020,12:35:12
69,204,55.0,,,,30/03/2020,23:58:38
70,207,55.0,,,,31/03/2020,11:09:06
71,207,57.0,,,,31/03/2020,11:52:57
72,207,58.0,,,,31/03/2020,15:10:43
73,212,58.0,,,,31/03/2020,23:49:04
74,212,63.0,,,,01/04/2020,10:06:53
75,218,63.0,,,,01/04/2020,13:25:33
76,222,63.0,,,,02/04/2020,01:23:04
77,222,64.0,,,,02/04/2020,07:01:49
78,222,75.0,,,,02/04/2020,09:01:55
79,227,75.0,,,,02/04/2020,11:59:39
80,233,75.0,,,,02/04/2020,23:10:14
81,233,85.0,,,,03/04/2020,05:27:29
82,237,85.0,,,,03/04/2020,12:13:30
83,239,85.0,,,,03/04/2020,23:34:36
84,239,85.0,,73164.0,,04/04/2020,03:58:25
85,239,90.0,,75458.0,,04/04/2020,07:30:42
86,240,90.0,,75458.0,,04/04/2020,11:32:49
87,240,90.0,,88551.0,,05/04/2020,10:59:42
88,241,90.0,,88551.0,,05/04/2020,11:25:56
89,241,91.0,,88551.0,,06/04/2020,05:00:04
90,241,95.0,,88551.0,,06/04/2020,09:03:43
91,245,95.0,,88551.0,,06/04/2020,11:34:06
92,245,95.0,,94305.0,,06/04/2020,13:54:34
93,245,106.0,,94305.0,,07/04/2020,05:59:55
94,245,123.0,,94305.0,,07/04/2020,10:22:55
95,249,123.0,,94305.0,,07/04/2020,11:55:46
96,249,123.0,,106399.0,,07/04/2020,15:42:48
97,251,123.0,,106399.0,,08/04/2020,00:01:09
98,251,122.0,,106399.0,,08/04/2020,04:24:44
99,251,126.0,,106399.0,,08/04/2020,06:52:05
100,251,126.0,,110124.0,,08/04/2020,13:38:39
101,251,128.0,,110124.0,,09/04/2020,06:31:38
102,255,128.0,,114241.0,,09/04/2020,12:20:14
103,255,144.0,,114241.0,,10/04/2020,06:17:29
104,257,144.0,,114241.0,,10/04/2020,11:57:25
105,257,144.0,,118807.0,,10/04/2020,15:11:59
106,258,144.0,,118807.0,,11/04/2020,11:43:50
107,258,144.0,,121821.0,,12/04/2020,02:43:04
108,260,144.0,,121821.0,,12/04/2020,12:27:57
109,262,144.0,,121821.0,,13/04/2020,00:00:03
110,265,146.0,,121821.0,,13/04/2020,11:07:56
111,265,155.0,,121821.0,,14/04/2020,04:00:06
