,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,4,,,,,05/04/2020,00:01:12
1,6,,,,,11/04/2020,23:30:35
2,6,5.0,,,,23/04/2020,01:00:07
3,6,6.0,,,,12/05/2020,15:39:30
4,9,6.0,,,595704.0,25/05/2020,00:30:26
5,9,6.0,1.0,,595744.0,26/05/2020,17:04:49
6,9,6.0,1.0,,595784.0,27/05/2020,16:10:09
7,9,8.0,1.0,,596509.0,14/06/2020,02:00:54
8,10,8.0,1.0,,596831.0,22/06/2020,06:26:18
9,10,8.0,1.0,,601741.0,23/10/2020,00:00:03
10,10,8.0,1.0,,601781.0,23/10/2020,19:40:35
11,10,8.0,1.0,,601821.0,24/10/2020,00:00:15
12,10,8.0,1.0,,601821.0,24/10/2020,18:55:54
13,10,8.0,1.0,,601861.0,25/10/2020,10:48:21
14,10,8.0,1.0,,601902.0,26/10/2020,18:33:57
15,10,8.0,1.0,,601982.0,28/10/2020,16:35:31
16,10,8.0,1.0,,601982.0,28/10/2020,19:23:48
17,10,8.0,1.0,,602022.0,29/10/2020,13:45:24
18,10,8.0,1.0,,602022.0,29/10/2020,16:49:51
19,10,8.0,1.0,,602063.0,30/10/2020,00:00:12
20,10,8.0,1.0,,602063.0,30/10/2020,13:29:17
21,10,8.0,1.0,,602103.0,31/10/2020,00:00:11
22,10,8.0,1.0,,602103.0,31/10/2020,16:54:05
23,10,8.0,1.0,,602143.0,01/11/2020,23:23:53
24,10,8.0,1.0,,602183.0,02/11/2020,00:54:04
25,10,8.0,1.0,,602183.0,02/11/2020,19:34:01
26,10,8.0,1.0,,602224.0,03/11/2020,19:11:50
