,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,10/04/2020,04:53:42
1,1,1.0,,120.0,,24/04/2020,03:30:38
2,6,1.0,,120.0,,29/04/2020,22:30:58
3,11,1.0,2.0,120.0,,30/04/2020,02:51:28
4,6,1.0,2.0,120.0,,30/04/2020,03:02:21
5,7,1.0,2.0,120.0,,01/05/2020,19:30:05
6,10,1.0,2.0,120.0,,02/05/2020,19:02:50
7,12,1.0,2.0,120.0,,04/05/2020,15:46:35
8,21,1.0,3.0,120.0,,05/05/2020,14:11:06
9,22,1.0,3.0,120.0,,05/05/2020,20:46:28
10,22,1.0,4.0,120.0,,05/05/2020,22:31:03
11,25,1.0,5.0,120.0,,06/05/2020,15:00:36
12,34,1.0,7.0,120.0,,07/05/2020,20:30:27
13,25,1.0,5.0,120.0,,07/05/2020,21:17:20
14,34,1.0,7.0,120.0,,08/05/2020,14:53:29
15,51,1.0,8.0,120.0,,10/05/2020,21:01:06
16,56,1.0,9.0,120.0,,11/05/2020,19:57:08
17,65,1.0,10.0,120.0,,12/05/2020,16:55:59
18,70,1.0,12.0,120.0,,13/05/2020,14:38:14
19,85,1.0,12.0,120.0,,14/05/2020,14:26:04
20,106,1.0,15.0,120.0,29735785.0,15/05/2020,15:32:26
21,122,1.0,18.0,120.0,29737584.0,16/05/2020,15:07:37
22,128,1.0,20.0,120.0,29739383.0,17/05/2020,19:02:20
23,130,1.0,20.0,120.0,29741182.0,18/05/2020,21:02:59
24,167,5.0,28.0,120.0,29744780.0,20/05/2020,00:09:48
25,184,5.0,30.0,120.0,29744780.0,20/05/2020,18:02:04
26,197,5.0,33.0,120.0,29746579.0,21/05/2020,18:06:46
27,197,11.0,33.0,120.0,29748378.0,22/05/2020,17:47:37
28,209,11.0,33.0,120.0,29748378.0,22/05/2020,18:32:01
29,212,11.0,39.0,120.0,29750177.0,23/05/2020,19:00:25
30,222,10.0,42.0,120.0,29751976.0,24/05/2020,17:32:01
31,233,10.0,44.0,120.0,29753775.0,25/05/2020,14:16:54
32,249,10.0,49.0,120.0,29755574.0,26/05/2020,19:31:13
33,256,10.0,53.0,120.0,29757373.0,27/05/2020,19:10:04
34,278,11.0,57.0,120.0,29759172.0,28/05/2020,18:26:03
35,283,11.0,65.0,120.0,29760970.0,29/05/2020,16:07:03
36,310,13.0,77.0,120.0,29762769.0,30/05/2020,18:03:33
37,323,14.0,80.0,120.0,29764568.0,31/05/2020,17:33:29
38,354,14.0,84.0,120.0,29766367.0,01/06/2020,18:17:05
39,399,15.0,87.0,120.0,29768166.0,02/06/2020,21:33:33
40,419,17.0,95.0,120.0,29769965.0,03/06/2020,19:32:46
41,453,17.0,103.0,120.0,29771764.0,04/06/2020,19:49:35
42,469,23.0,111.0,120.0,29773563.0,05/06/2020,19:01:20
43,482,23.0,111.0,120.0,29775362.0,06/06/2020,20:26:49
44,484,23.0,112.0,120.0,29777161.0,07/06/2020,20:32:42
45,496,23.0,112.0,120.0,29778960.0,08/06/2020,21:01:15
46,524,23.0,127.0,120.0,29780759.0,09/06/2020,21:14:36
47,560,23.0,129.0,120.0,29782558.0,10/06/2020,19:09:50
48,591,23.0,136.0,120.0,29784357.0,11/06/2020,21:01:09
49,632,28.0,139.0,120.0,29786156.0,12/06/2020,19:30:51
50,705,39.0,160.0,120.0,29787955.0,13/06/2020,19:32:47
51,728,53.0,164.0,120.0,29789754.0,14/06/2020,16:52:05
52,844,79.0,208.0,120.0,29791553.0,15/06/2020,19:03:30
53,885,91.0,214.0,120.0,29793351.0,16/06/2020,19:03:31
54,902,271.0,244.0,120.0,29795150.0,17/06/2020,18:02:57
55,909,273.0,248.0,120.0,29796949.0,18/06/2020,17:49:27
56,919,288.0,251.0,120.0,29798748.0,19/06/2020,20:00:05
57,922,328.0,254.0,120.0,29800547.0,20/06/2020,17:13:37
58,941,347.0,256.0,120.0,29802346.0,21/06/2020,16:52:59
59,967,350.0,257.0,120.0,29804145.0,22/06/2020,18:46:14
60,992,356.0,261.0,120.0,29805944.0,23/06/2020,19:03:00
61,1015,379.0,274.0,120.0,29807743.0,24/06/2020,18:33:38
62,1076,386.0,288.0,120.0,29809542.0,25/06/2020,19:50:06
63,1089,402.0,293.0,120.0,29811341.0,26/06/2020,20:01:35
64,1103,417.0,296.0,120.0,29813140.0,27/06/2020,17:31:09
65,1118,430.0,296.0,120.0,29814939.0,28/06/2020,17:23:50
66,1118,430.0,302.0,120.0,29814939.0,28/06/2020,17:50:16
67,1128,432.0,304.0,120.0,29816738.0,29/06/2020,17:30:14
