,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,20/03/2020,21:10:29
1,3,,,,,21/03/2020,09:56:10
2,3,,1.0,,,23/03/2020,12:31:26
3,5,,1.0,,,27/03/2020,08:01:39
4,7,,1.0,,,28/03/2020,11:19:47
5,8,,1.0,,,31/03/2020,07:35:12
6,9,,1.0,,,02/04/2020,22:06:41
7,9,,1.0,316.0,,04/04/2020,03:58:25
8,10,,1.0,316.0,,06/04/2020,20:57:59
9,10,,1.0,371.0,,07/04/2020,19:54:24
10,11,,2.0,371.0,,07/04/2020,21:00:12
11,11,,3.0,371.0,,08/04/2020,19:47:20
12,11,,3.0,438.0,,10/04/2020,14:01:15
13,13,,3.0,438.0,,10/04/2020,20:15:03
14,14,,3.0,547.0,,11/04/2020,22:28:26
15,14,,3.0,563.0,,12/04/2020,23:00:24
16,17,,3.0,604.0,,13/04/2020,11:07:56
17,18,1.0,3.0,665.0,,15/04/2020,03:26:28
18,23,1.0,3.0,716.0,,15/04/2020,22:00:02
19,24,2.0,3.0,1299.0,,16/04/2020,23:37:57
20,24,2.0,3.0,2493.0,,18/04/2020,00:31:43
21,25,2.0,3.0,2626.0,,18/04/2020,17:59:20
22,25,2.0,3.0,2851.0,,19/04/2020,23:00:27
23,25,2.0,3.0,3308.0,,21/04/2020,00:07:03
24,28,2.0,3.0,4159.0,,21/04/2020,21:00:07
25,28,2.0,4.0,4159.0,,22/04/2020,23:00:07
26,28,2.0,4.0,4990.0,,23/04/2020,05:00:04
27,29,2.0,4.0,5450.0,,24/04/2020,03:30:38
28,31,2.0,4.0,5450.0,,25/04/2020,23:20:59
29,31,2.0,4.0,6067.0,,26/04/2020,12:00:19
30,31,5.0,4.0,6395.0,,27/04/2020,06:30:24
31,32,5.0,4.0,6834.0,,28/04/2020,02:05:53
32,40,5.0,4.0,7642.0,,30/04/2020,03:58:09
33,34,5.0,4.0,7642.0,,02/05/2020,11:31:51
34,34,9.0,4.0,16052.0,,07/05/2020,20:30:27
35,34,5.0,4.0,7642.0,,07/05/2020,21:17:20
36,34,5.0,4.0,16052.0,,07/05/2020,22:30:34
37,34,9.0,4.0,16052.0,,08/05/2020,18:01:40
38,35,9.0,4.0,16052.0,,09/05/2020,12:15:23
39,36,9.0,4.0,20537.0,,10/05/2020,06:02:08
40,37,12.0,4.0,20537.0,,13/05/2020,14:38:14
41,37,13.0,4.0,36081.0,,14/05/2020,22:15:16
42,42,13.0,4.0,25478.0,14834125.0,15/05/2020,20:30:05
43,44,17.0,4.0,27059.0,14835308.0,17/05/2020,05:10:40
44,46,18.0,4.0,28019.0,14835899.0,18/05/2020,17:59:31
45,48,18.0,4.0,28019.0,14837082.0,20/05/2020,21:00:36
46,51,18.0,4.0,28019.0,14837674.0,21/05/2020,23:35:30
47,56,18.0,4.0,35112.0,14838856.0,23/05/2020,17:30:04
48,56,23.0,4.0,36538.0,14839448.0,24/05/2020,15:02:48
49,56,25.0,4.0,37039.0,14840039.0,25/05/2020,00:30:26
50,132,25.0,4.0,37039.0,14841222.0,27/05/2020,19:10:04
51,149,28.0,4.0,37039.0,14841813.0,28/05/2020,23:42:47
52,149,28.0,4.0,40847.0,14842405.0,29/05/2020,23:26:29
53,160,29.0,4.0,46613.0,14842996.0,30/05/2020,11:26:14
54,174,29.0,4.0,46613.0,14842996.0,30/05/2020,23:21:14
55,178,29.0,4.0,46613.0,14843588.0,31/05/2020,22:30:35
56,203,29.0,4.0,46613.0,14844179.0,01/06/2020,23:22:19
57,206,29.0,4.0,46613.0,14844771.0,02/06/2020,19:30:05
58,222,29.0,4.0,46613.0,14845362.0,03/06/2020,22:59:56
59,237,31.0,4.0,50920.0,14846545.0,05/06/2020,00:06:37
60,265,33.0,4.0,50920.0,14847136.0,06/06/2020,00:45:07
61,265,33.0,4.0,52218.0,14847136.0,06/06/2020,01:14:03
62,279,33.0,4.0,52218.0,14847136.0,06/06/2020,21:39:36
63,282,34.0,4.0,52905.0,14847728.0,07/06/2020,23:30:36
64,287,46.0,4.0,52905.0,14848319.0,08/06/2020,20:00:08
65,314,46.0,4.0,52905.0,14848910.0,09/06/2020,18:52:13
66,320,49.0,4.0,52905.0,14849502.0,10/06/2020,22:37:17
67,332,51.0,4.0,52905.0,14850093.0,11/06/2020,19:31:52
68,343,51.0,4.0,52905.0,14850685.0,12/06/2020,18:30:35
69,356,54.0,4.0,52905.0,14851276.0,13/06/2020,19:32:47
70,383,54.0,4.0,52905.0,14851867.0,14/06/2020,19:03:09
71,387,54.0,4.0,52905.0,14852459.0,15/06/2020,19:03:30
72,391,62.0,4.0,52905.0,14853050.0,16/06/2020,19:03:31
73,401,63.0,4.0,52905.0,14853642.0,17/06/2020,18:02:57
74,463,63.0,4.0,52905.0,14854233.0,18/06/2020,20:00:38
75,479,63.0,4.0,52905.0,14854824.0,19/06/2020,19:00:47
76,489,64.0,6.0,52905.0,14856007.0,21/06/2020,19:03:32
77,512,64.0,6.0,52905.0,14856599.0,22/06/2020,20:55:24
78,525,64.0,6.0,53283.0,14857781.0,24/06/2020,00:00:17
79,530,123.0,6.0,64520.0,14857781.0,24/06/2020,21:53:39
80,551,128.0,6.0,65111.0,14858373.0,25/06/2020,23:54:32
81,561,135.0,6.0,65704.0,14858964.0,26/06/2020,20:30:04
82,567,142.0,6.0,66238.0,14859556.0,27/06/2020,20:31:57
83,574,152.0,7.0,67105.0,14861330.0,30/06/2020,00:00:45
84,591,162.0,7.0,67755.0,14861330.0,30/06/2020,20:12:35
85,605,166.0,7.0,68400.0,14862513.0,02/07/2020,00:59:49
86,617,173.0,7.0,71236.0,14862513.0,02/07/2020,19:30:15
87,625,176.0,7.0,75485.0,14863104.0,03/07/2020,18:45:20
88,698,181.0,8.0,78465.0,14863695.0,04/07/2020,21:30:21
89,716,181.0,8.0,80089.0,14864878.0,06/07/2020,00:29:04
90,734,197.0,9.0,80654.0,14865470.0,07/07/2020,00:00:13
91,787,201.0,9.0,81335.0,14866061.0,08/07/2020,04:30:36
92,885,206.0,9.0,82077.0,14866061.0,08/07/2020,22:31:05
93,926,306.0,12.0,86212.0,14867244.0,10/07/2020,06:00:15
94,942,320.0,13.0,87264.0,14867244.0,10/07/2020,19:56:01
95,982,320.0,18.0,88436.0,14867835.0,11/07/2020,23:31:24
96,985,328.0,18.0,88984.0,14868427.0,12/07/2020,23:20:26
97,1034,343.0,19.0,91103.0,14869018.0,13/07/2020,21:35:27
98,1064,343.0,20.0,93248.0,14869609.0,14/07/2020,21:30:38
99,1089,395.0,20.0,95860.0,14870201.0,15/07/2020,20:36:10
100,1362,425.0,23.0,97508.0,14870792.0,16/07/2020,22:29:33
101,1420,438.0,24.0,99701.0,14871384.0,17/07/2020,19:12:01
102,1478,439.0,25.0,100376.0,14871975.0,18/07/2020,23:49:29
103,1611,472.0,25.0,101375.0,14872566.0,19/07/2020,21:54:18
104,1713,472.0,26.0,103291.0,14873158.0,20/07/2020,19:51:00
105,1820,488.0,26.0,105121.0,14874341.0,22/07/2020,00:00:08
106,2034,510.0,26.0,107788.0,14874341.0,22/07/2020,18:31:57
107,2124,510.0,28.0,110560.0,14874932.0,23/07/2020,20:32:45
108,2296,514.0,32.0,111737.0,14875523.0,24/07/2020,19:33:24
109,2434,518.0,34.0,118276.0,14876115.0,25/07/2020,21:26:19
110,2512,518.0,34.0,119866.0,14876706.0,26/07/2020,23:47:08
111,2704,542.0,36.0,122770.0,14877298.0,27/07/2020,23:48:01
112,2817,604.0,40.0,124194.0,14877889.0,28/07/2020,23:09:31
113,2879,887.0,41.0,126708.0,14878480.0,29/07/2020,23:01:08
114,3092,924.0,53.0,129899.0,14879072.0,30/07/2020,23:09:51
115,3169,1004.0,67.0,131035.0,14879663.0,31/07/2020,22:31:19
116,3659,1011.0,69.0,132593.0,14880255.0,01/08/2020,22:26:05
117,3921,1016.0,70.0,134209.0,14880846.0,02/08/2020,22:24:03
118,4075,1057.0,80.0,134209.0,14881437.0,03/08/2020,22:25:57
119,4221,1238.0,81.0,140421.0,14882029.0,04/08/2020,20:32:04
120,4339,1264.0,84.0,140421.0,14883212.0,06/08/2020,07:31:38
121,4395,1264.0,97.0,144490.0,14883803.0,07/08/2020,10:16:04
122,4451,1345.0,102.0,147026.0,14883803.0,07/08/2020,22:02:53
123,4575,1416.0,102.0,148451.0,14884394.0,08/08/2020,23:31:07
124,4649,1437.0,104.0,149748.0,14884986.0,09/08/2020,19:39:53
125,4748,1524.0,104.0,149748.0,14885577.0,10/08/2020,20:30:58
126,4818,1524.0,104.0,149748.0,14886169.0,11/08/2020,18:14:41
127,4818,1544.0,104.0,149748.0,14886760.0,12/08/2020,07:13:46
128,4893,1620.0,122.0,149748.0,14886760.0,12/08/2020,23:59:30
129,4990,1927.0,128.0,149748.0,14887351.0,13/08/2020,22:26:35
130,5072,1998.0,128.0,149748.0,14887943.0,14/08/2020,20:41:01
131,5176,2047.0,130.0,149748.0,14888534.0,15/08/2020,22:48:57
132,5261,2092.0,132.0,149748.0,14889126.0,16/08/2020,21:01:16
133,5308,3848.0,135.0,149748.0,14889717.0,17/08/2020,19:07:37
134,5378,4105.0,141.0,149748.0,14890308.0,18/08/2020,22:40:29
135,5643,4442.0,150.0,149748.0,14890900.0,19/08/2020,18:36:45
