,Country,Total Cases,Change Today,Total Deaths,Region
0,China,11860,69.0,259,Asia
1,Japan,20,3.0,0,Asia
2,Thailand,19,,0,Asia
3,Singapore,18,2.0,0,Asia
4,Hong Kong,13,,0,Asia
5,South Korea,12,1.0,0,Asia
6,Australia,12,3.0,0,Australia/Oceania
7,Taiwan,10,,0,Asia
8,Malaysia,8,,0,Asia
9,U.S.,7,,0,North America
10,Germany,7,,0,Europe
11,Macao,7,,0,Asia
12,Vietnam,6,1.0,0,Asia
13,France,6,,0,Europe
14,U.A.E.,4,,0,Asia
15,Canada,4,,0,North America
16,Italy,2,,0,Europe
17,Russia,2,,0,Europe
18,U.K.,2,,0,Europe
19,Cambodia,1,,0,Asia
20,India,1,,0,Asia
21,Finland,1,,0,Europe
22,Philippines,1,,0,Asia
23,Sri Lanka,1,,0,Asia
24,Nepal,1,,0,Asia
25,Sweden,1,,0,Europe
26,Spain,1,,0,Europe
