,Country,Total Cases,Today,Total Deaths,Today.1,Region
0,China,14497,116.0,304.0,,Asia
1,Japan,20,,,,Asia
2,Thailand,19,,,,Asia
3,Singapore,18,,,,Asia
4,South Korea,15,3.0,,,Asia
5,Hong Kong,14,1.0,,,Asia
6,Australia,12,,,,Australia/Oceania
7,Germany,10,2.0,,,Europe
8,Taiwan,10,,,,Asia
9,Malaysia,8,,,,Asia
10,Macao,8,1.0,,,Asia
11,U.S.,8,,,,North America
12,Vietnam,7,1.0,,,Asia
13,France,6,,,,Europe
14,U.A.E.,5,,,,Asia
15,Canada,4,,,,North America
16,Philippines,2,1.0,1.0,1.0,Asia
17,India,2,1.0,,,Asia
18,U.K.,2,,,,Europe
19,Italy,2,,,,Europe
20,Russia,2,,,,Europe
21,Finland,1,,,,Europe
22,Sweden,1,,,,Europe
23,Sri Lanka,1,,,,Asia
24,Nepal,1,,,,Asia
25,Cambodia,1,,,,Asia
26,Spain,1,,,,Europe
