,Country,Total Cases,New Today,Total Deaths,Today's Deaths,Total Recovered,Total Critical,Region
0,China,17222,"+2,841",361.0,57.0,497.0,2296.0,Asia
1,Japan,20,,,,,,Asia
2,Thailand,19,,,,7.0,,Asia
3,Singapore,18,,,,,,Asia
4,South Korea,15,+3,,,,,Asia
5,Hong Kong,15,+2,,,,,Asia
6,Australia,12,,,,2.0,,Oceania
7,U.S.,11,+3,,,,,N.America
8,Germany,10,+2,,,,,Europe
9,Taiwan,10,,,,,,Asia
10,Macao,8,+1,,,,,Asia
11,Malaysia,8,,,,,,Asia
12,Vietnam,8,+2,,,1.0,,Asia
13,France,6,,,,,2.0,Europe
14,U.A.E.,5,,,,,,Asia
15,Canada,4,,,,,,N.America
16,India,3,+2,,,,,Asia
17,Philippines,2,+1,1.0,1.0,,,Asia
18,Russia,2,,,,,,Europe
19,Italy,2,,,,,,Europe
20,U.K.,2,,,,,,Europe
21,Cambodia,1,,,,,,Asia
22,Finland,1,,,,,,Europe
23,Sri Lanka,1,,,,1.0,,Asia
24,Nepal,1,,,,,,Asia
25,Sweden,1,,,,,,Europe
26,Spain,1,,,,,,Europe
