,Country,Total Cases,Feb 4 Cases,Total Deaths,Feb 4 Deaths,Total Recovered,Total Critical,Region
0,China,23658,"+3,220",490.0,65.0,861.0,2788.0,Asia
1,Thailand,25,+6,,,7.0,1.0,Asia
2,Singapore,24,+6,,,1.0,,Asia
3,Japan,23,+3,,,,,Asia
4,Hong Kong,17,+2,1.0,1.0,,,Asia
5,S. Korea,16,+1,,,,,Asia
6,Australia,13,+1,,,3.0,,Oceania
7,Germany,12,,,,,,Europe
8,Taiwan,11,+1,,,,,Asia
9,USA,11,,,,,,N.America
10,Malaysia,10,+2,,,,,Asia
11,Macao,10,+2,,,,,Asia
12,Vietnam,10,+2,,,3.0,,Asia
13,France,6,,,,,1.0,Europe
14,U.A.E.,5,,,,,,Asia
15,Canada,5,+1,,,,,N.America
16,India,3,,,,,,Asia
17,Philippines,2,,1.0,,,,Asia
18,Russia,2,,,,,,Europe
19,Italy,2,,,,,2.0,Europe
20,U.K.,2,,,,,,Europe
21,Finland,1,,,,,,Europe
22,Cambodia,1,,,,,,Asia
23,Nepal,1,,,,,,Asia
24,Sri Lanka,1,,,,1.0,,Asia
25,Sweden,1,,,,,,Europe
26,Belgium,1,+1,,,,,Europe
27,Spain,1,,,,,,Europe
