,"Country, Territory",Total Cases,Feb 6 Cases,Total Deaths,Feb 6 Deaths,Total Recovered,Total Critical,Region
0,China,30551,"+2,533",633.0,70.0,1593.0,3859.0,Asia
1,Japan,45,,,,,,Asia
2,Singapore,30,+2,,,1.0,,Asia
3,Thailand,25,,,,9.0,1.0,Asia
4,Hong Kong,24,+3,1.0,,,,Asia
5,S. Korea,23,,,,1.0,,Asia
6,Taiwan,16,+5,,,1.0,,Asia
7,Australia,15,+1,,,3.0,,Oceania
8,Malaysia,14,+2,,,1.0,,Asia
9,Germany,13,+1,,,,,Europe
10,USA,12,,,,1.0,,N.America
11,Vietnam,12,+2,,,3.0,,Asia
12,Macao,10,,,,,,Asia
13,Canada,7,+2,,,,,N.America
14,France,6,,,,,1.0,Europe
15,U.A.E.,5,,,,,,Asia
16,Philippines,3,,1.0,,,,Asia
17,India,3,,,,,,Asia
18,U.K.,3,+1,,,,,Europe
19,Italy,3,+1,,,,2.0,Europe
20,Russia,2,,,,,,Europe
21,Nepal,1,,,,,,Asia
22,Cambodia,1,,,,,,Asia
23,Sri Lanka,1,,,,1.0,,Asia
24,Finland,1,,,,1.0,,Europe
25,Sweden,1,,,,,,Europe
26,Belgium,1,,,,,,Europe
27,Spain,1,,,,,,Europe
