,"Country, Territory",Total Cases,Feb 6 Feb 7 Cases,Total Deaths,Feb 6 Feb 7 Deaths,Total Recovered,Total Critical,Region
0,China,31204,"+3,186",636.0,73.0,1630.0,4820.0,Asia
1,Japan,86,+41,,,4.0,,Asia
2,Singapore,33,+5,,,1.0,1.0,Asia
3,Thailand,25,,,,9.0,1.0,Asia
4,Hong Kong,24,+3,1.0,,,,Asia
5,S. Korea,24,+1,,,1.0,,Asia
6,Taiwan,16,+5,,,1.0,,Asia
7,Australia,15,+1,,,5.0,,Oceania
8,Malaysia,15,+3,,,1.0,,Asia
9,Germany,13,+1,,,,,Europe
10,USA,12,,,,1.0,,N.America
11,Vietnam,12,+2,,,3.0,,Asia
12,Macao,10,,,,,,Asia
13,Canada,7,+2,,,,,N.America
14,France,6,,,,,1.0,Europe
15,U.A.E.,5,,,,,,Asia
16,Philippines,3,,1.0,,,,Asia
17,Italy,3,+1,,,,2.0,Europe
18,India,3,,,,,,Asia
19,U.K.,3,+1,,,,,Europe
20,Russia,2,,,,,,Europe
21,Finland,1,,,,1.0,,Europe
22,Nepal,1,,,,,,Asia
23,Sweden,1,,,,,,Europe
24,Sri Lanka,1,,,,1.0,,Asia
25,Cambodia,1,,,,1.0,,Asia
26,Spain,1,,,,,,Europe
27,Belgium,1,,,,,,Europe
