,"Country, Territory",Total Cases,Feb 9 Cases,Total Deaths,Feb 9 Deaths,Total Recovered,Total Severe,Region
0,China,40185,"+2,987",908.0,97.0,3422.0,6484.0,Asia
1,Japan,156,+67,,,4.0,,Asia
2,Singapore,43,+3,,,6.0,6.0,Asia
3,Hong Kong,36,+10,1.0,,,,Asia
4,Thailand,32,,,,10.0,1.0,Asia
5,S. Korea,27,+3,,,3.0,,Asia
6,Taiwan,18,+1,,,1.0,,Asia
7,Malaysia,18,+2,,,3.0,,Asia
8,Australia,15,,,,5.0,,Oceania
9,Vietnam,14,+1,,,3.0,,Asia
10,Germany,14,,,,,,Europe
11,USA,12,,,,3.0,,N.America
12,France,11,,,,,1.0,Europe
13,Macao,10,,,,1.0,,Asia
14,U.A.E.,7,,,,,,Asia
15,Canada,7,,,,,,N.America
16,U.K.,4,+1,,,,,Europe
17,Philippines,3,,1.0,,2.0,,Asia
18,Italy,3,,,,,2.0,Europe
19,India,3,,,,,,Asia
20,Russia,2,,,,,,Europe
21,Spain,2,+1,,,,,Europe
22,Sri Lanka,1,,,,1.0,,Asia
23,Cambodia,1,,,,1.0,,Asia
24,Finland,1,,,,1.0,,Europe
25,Nepal,1,,,,,,Asia
26,Sweden,1,,,,,,Europe
27,Belgium,1,,,,,,Europe
