,"Country, Territory",Total Cases,"Feb 10,11 Cases",Total Deaths,"Feb 10,11 Deaths",Total Recovered,Total Severe,Region
0,China,42670,"+2,499",1016.0,108.0,4318.0,7333.0,Asia
1,Japan,163,+67,,,4.0,,Asia
2,Hong Kong,49,+13,1.0,,,,Asia
3,Singapore,47,+4,,,9.0,7.0,Asia
4,Thailand,33,+1,,,10.0,1.0,Asia
5,S. Korea,28,+1,,,4.0,,Asia
6,Taiwan,18,,,,1.0,,Asia
7,Malaysia,18,+1,,,3.0,,Asia
8,Germany,16,+2,,,,,Europe
9,Vietnam,15,+1,,,6.0,,Asia
10,Australia,15,,,,5.0,,Oceania
11,USA,13,+1,,,3.0,,N.America
12,France,11,,,,,1.0,Europe
13,Macao,10,,,,1.0,,Asia
14,U.A.E.,8,+1,,,1.0,1.0,Asia
15,U.K.,8,+4,,,1.0,,Europe
16,Canada,7,,,,1.0,,N.America
17,Philippines,3,,1.0,,2.0,,Asia
18,Italy,3,,,,,2.0,Europe
19,India,3,,,,,,Asia
20,Russia,2,,,,,,Europe
21,Spain,2,,,,,,Europe
22,Sweden,1,,,,,,Europe
23,Sri Lanka,1,,,,1.0,,Asia
24,Nepal,1,,,,,,Asia
25,Finland,1,,,,1.0,,Europe
26,Cambodia,1,,,,1.0,,Asia
27,Belgium,1,,,,,,Europe
