,"Country, Territory",Total Cases,Change (cases),Total Deaths,Change (deaths),Total Recovered,Total Critical,Region
0,China,59828,"+15,426",1367.0,255.0,6210.0,8024.0,Asia
1,Japan,251,+49,1.0,1.0,10.0,4.0,Asia
2,Singapore,58,+11,,,15.0,8.0,Asia
3,Hong Kong,53,+4,1.0,,1.0,2.0,Asia
4,Thailand,33,,,,12.0,1.0,Asia
5,S. Korea,28,,,,7.0,,Asia
6,Malaysia,19,+1,,,3.0,,Asia
7,Taiwan,18,,,,1.0,,Asia
8,Germany,16,,,,1.0,,Europe
9,Vietnam,16,+1,,,7.0,,Asia
10,USA,15,+2,,,3.0,,N.America
11,Australia,15,,,,8.0,,Oceania
12,France,11,,,,2.0,1.0,Europe
13,Macao,10,,,,3.0,,Asia
14,U.K.,9,+1,,,1.0,,Europe
15,U.A.E.,8,,,,1.0,1.0,Asia
16,Canada,7,,,,1.0,,N.America
17,India,5,+2,,,1.0,,Asia
18,Philippines,3,,1.0,,2.0,,Asia
19,Italy,3,,,,,2.0,Europe
20,Russia,2,,,,2.0,,Europe
21,Spain,2,,,,,,Europe
22,Sri Lanka,1,,,,1.0,,Asia
23,Finland,1,,,,1.0,,Europe
24,Cambodia,1,,,,1.0,,Asia
25,Belgium,1,,,,,,Europe
26,Sweden,1,,,,,,Europe
27,Nepal,1,,,,1.0,,Asia
