,"Country, Territory",Total Cases,Change (cases),Total Deaths,Change (deaths),Total Recovered,"Serious, Critical",Region
0,China,63865,"+5,104",1381.0,122.0,7014.0,10584.0,Asia
1,Japan,253,+51,1.0,1.0,10.0,5.0,Asia
2,Singapore,58,+8,,,15.0,8.0,Asia
3,Hong Kong,56,+6,1.0,,1.0,6.0,Asia
4,Thailand,33,,,,12.0,1.0,Asia
5,S. Korea,28,,,,7.0,,Asia
6,Malaysia,19,+1,,,3.0,,Asia
7,Taiwan,18,,,,1.0,,Asia
8,Vietnam,16,+1,,,7.0,,Asia
9,Germany,16,,,,1.0,,Europe
10,Australia,15,,,,10.0,,Oceania
11,USA,15,+2,,,3.0,,N.America
12,France,11,,,,2.0,1.0,Europe
13,Macao,10,,,,3.0,,Asia
14,U.K.,9,,,,1.0,,Europe
15,U.A.E.,8,,,,1.0,1.0,Asia
16,Canada,7,,,,1.0,,N.America
17,Philippines,3,,1.0,,2.0,,Asia
18,Italy,3,,,,,2.0,Europe
19,India,3,,,,1.0,,Asia
20,Russia,2,,,,2.0,,Europe
21,Spain,2,,,,,,Europe
22,Sweden,1,,,,,,Europe
23,Nepal,1,,,,1.0,,Asia
24,Sri Lanka,1,,,,1.0,,Asia
25,Finland,1,,,,1.0,,Europe
26,Cambodia,1,,,,1.0,,Asia
27,Belgium,1,,,,,,Europe
