,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
0,China,72440,"+1,892",1870.0,100.0,12994.0,11741.0,Asia
1,Diamond Princess,542,+88,,,17.0,20.0,
2,Singapore,81,+4,,,29.0,4.0,Asia
3,Japan,74,+8,1.0,,20.0,4.0,Asia
4,Hong Kong,62,+2,1.0,,2.0,7.0,Asia
5,Thailand,35,,,,17.0,2.0,Asia
6,S. Korea,31,+1,,,12.0,,Asia
7,Taiwan,22,,1.0,,2.0,,Asia
8,Malaysia,22,,,,11.0,,Asia
9,Germany,16,,,,9.0,,Europe
10,Vietnam,16,,,,7.0,,Asia
11,Australia,15,,,,10.0,,Oceania
12,USA,15,,,,3.0,,N.America
13,France,12,,1.0,,5.0,,Europe
14,Macao,10,,,,5.0,,Asia
15,U.A.E.,9,,,,3.0,1.0,Asia
16,U.K.,9,,,,8.0,,Europe
17,Canada,8,,,,1.0,,N.America
18,Philippines,3,,1.0,,2.0,,Asia
19,Italy,3,,,,,2.0,Europe
20,India,3,,,,3.0,,Asia
21,Russia,2,,,,2.0,,Europe
22,Spain,2,,,,2.0,,Europe
23,Egypt,1,,,,,,Africa
24,Cambodia,1,,,,1.0,,Asia
25,Sweden,1,,,,,,Europe
26,Nepal,1,,,,1.0,,Asia
27,Belgium,1,,,,1.0,,Europe
28,Sri Lanka,1,,,,1.0,,Asia
29,Finland,1,,,,1.0,,Europe
