,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80967,+39,3248.0,3.0,71150.0,6569,2136.0,56.0
1,Italy,41035,,3405.0,,4440.0,33190,2498.0,679.0
2,Spain,19980,"+1,903",1002.0,171.0,1588.0,17390,939.0,427.0
3,Iran,19644,"+1,237",1433.0,149.0,6745.0,11466,,234.0
4,Germany,17372,"+2,052",47.0,3.0,180.0,17145,2.0,207.0
5,USA,14371,+582,217.0,10.0,125.0,14029,64.0,43.0
6,France,10995,,372.0,,1295.0,9328,1122.0,168.0
7,S. Korea,8652,+87,94.0,3.0,2233.0,6325,59.0,169.0
8,Switzerland,4898,+676,43.0,,15.0,4840,,566.0
9,UK,3269,,144.0,,65.0,3060,20.0,48.0
10,Netherlands,2994,+534,106.0,30.0,2.0,2886,45.0,175.0
11,Austria,2333,+154,6.0,,9.0,2318,14.0,259.0
12,Belgium,2257,+462,37.0,16.0,204.0,2016,164.0,195.0
13,Norway,1839,+49,7.0,,1.0,1831,27.0,339.0
14,Sweden,1639,+200,16.0,5.0,16.0,1607,21.0,162.0
15,Denmark,1226,+75,9.0,3.0,1.0,1216,37.0,212.0
16,Malaysia,1030,+130,3.0,1.0,87.0,940,26.0,32.0
17,Portugal,1020,+234,6.0,2.0,5.0,1009,26.0,100.0
18,Japan,963,+20,33.0,,215.0,715,50.0,8.0
19,Australia,876,+120,7.0,,46.0,823,2.0,34.0
20,Canada,873,,12.0,,11.0,850,1.0,23.0
21,Czechia,774,+80,,,4.0,770,6.0,72.0
22,Diamond Princess,712,,7.0,,527.0,178,14.0,
23,Israel,705,+28,,,15.0,690,10.0,81.0
24,Brazil,650,+10,7.0,,2.0,641,18.0,3.0
25,Ireland,557,,3.0,,5.0,549,6.0,113.0
26,Luxembourg,484,+149,5.0,1.0,6.0,473,1.0,773.0
27,Pakistan,467,+13,3.0,1.0,13.0,451,,2.0
28,Greece,464,,6.0,,19.0,439,16.0,45.0
29,Qatar,460,,,,10.0,450,6.0,160.0
30,Finland,450,+50,,,10.0,440,2.0,81.0
31,Chile,434,+92,,,6.0,428,7.0,23.0
32,Iceland,409,+79,,,5.0,404,1.0,1199.0
33,Singapore,385,+40,,,124.0,261,14.0,66.0
34,Poland,378,+23,6.0,1.0,13.0,359,3.0,10.0
35,Indonesia,369,+60,32.0,7.0,17.0,320,,1.0
36,Turkey,359,,4.0,,,355,,4.0
37,Slovenia,341,+22,1.0,,,340,6.0,164.0
38,Thailand,322,+50,1.0,,42.0,279,1.0,5.0
39,Romania,308,+31,,,31.0,277,11.0,16.0
40,Bahrain,284,+5,1.0,,110.0,173,4.0,167.0
41,Estonia,283,+16,,,1.0,282,1.0,213.0
42,Saudi Arabia,274,,,,8.0,266,,8.0
43,Ecuador,260,,4.0,1.0,1.0,255,2.0,15.0
44,Egypt,256,,7.0,,42.0,207,,3.0
45,Hong Kong,256,+48,4.0,,98.0,154,4.0,34.0
46,Peru,234,,3.0,2.0,1.0,230,7.0,7.0
47,Philippines,230,+13,18.0,1.0,8.0,204,1.0,2.0
48,India,223,+29,5.0,1.0,23.0,195,,0.2
49,Russia,206,+7,1.0,,9.0,196,,1.0
50,South Africa,202,+52,,,,202,,3.0
51,Iraq,192,,13.0,,49.0,130,,5.0
52,Mexico,164,+46,1.0,,4.0,159,1.0,1.0
53,Lebanon,163,+6,4.0,,4.0,155,3.0,24.0
54,Kuwait,159,+11,,,22.0,137,5.0,37.0
55,San Marino,144,,14.0,,4.0,126,12.0,4244.0
56,UAE,140,,,,31.0,109,2.0,14.0
57,Panama,137,,1.0,,1.0,135,7.0,32.0
58,Armenia,136,+14,,,1.0,135,2.0,46.0
59,Taiwan,135,+27,2.0,1.0,28.0,105,,6.0
60,Argentina,128,,3.0,,3.0,122,,3.0
61,Colombia,128,+20,,,1.0,127,,3.0
62,Slovakia,124,,,,,124,2.0,23.0
63,Serbia,118,+15,,,2.0,116,4.0,14.0
64,Croatia,113,+3,1.0,,5.0,107,,28.0
65,Bulgaria,112,+5,3.0,,1.0,108,,16.0
66,Latvia,111,+25,,,1.0,110,,59.0
67,Uruguay,94,+15,,,,94,,27.0
68,Vietnam,91,+6,,,17.0,74,,0.9
69,Algeria,90,,11.0,2.0,32.0,47,,2.0
70,Costa Rica,89,+2,2.0,1.0,,87,2.0,17.0
71,Hungary,85,+12,3.0,2.0,7.0,75,6.0,9.0
72,Faeroe Islands,80,+8,,,3.0,77,,1637.0
73,Brunei,78,+5,,,1.0,77,2.0,178.0
74,Andorra,75,+1,,,1.0,74,2.0,971.0
75,Sri Lanka,71,+11,,,3.0,68,,3.0
76,Albania,70,+6,2.0,,,68,2.0,24.0
77,Belarus,69,+18,,,15.0,54,,7.0
78,Jordan,69,,,,1.0,68,,7.0
