,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,3874410,"+57,028",267921.0,"+3,084",1327816.0,2278673,47972.0,497.0,34.4,,
1,USA,1271644,"+8,552",75587.0,+788,213664.0,982393,15827.0,3842.0,228.0,8088818.0,24437.0
2,Spain,256855,"+3,173",26070.0,+213,163919.0,66866,2075.0,5494.0,558.0,1932455.0,41332.0
3,Italy,215858,"+1,401",29958.0,+274,96276.0,89624,1311.0,3570.0,495.0,2381288.0,39385.0
4,UK,206715,"+5,614",30615.0,+539,,175756,1559.0,3045.0,451.0,1448010.0,21330.0
5,Russia,177160,"+11,231",1625.0,+88,23803.0,151732,2300.0,1214.0,11.0,4803192.0,32913.0
6,France,174191,,25809.0,,53972.0,94410,3147.0,2669.0,395.0,1100228.0,16856.0
7,Germany,168912,+750,7336.0,+61,139900.0,21676,1823.0,2016.0,88.0,2755770.0,32891.0
8,Turkey,133721,"+1,977",3641.0,+57,82984.0,47096,1260.0,1586.0,43.0,1265119.0,15000.0
9,Brazil,127655,"+1,044",8609.0,+21,51370.0,67676,8318.0,601.0,41.0,339552.0,1597.0
10,Iran,103135,"+1,485",6486.0,+68,82744.0,13905,2728.0,1228.0,77.0,544702.0,6485.0
11,Canada,63904,+408,4283.0,+51,28171.0,31450,502.0,1693.0,113.0,973558.0,25795.0
12,Peru,54817,,1533.0,,17527.0,35757,717.0,1663.0,46.0,429458.0,13025.0
13,India,54539,"+1,552",1837.0,+52,16048.0,36654,,40.0,1.0,1357413.0,984.0
14,Belgium,51420,+639,8415.0,+76,12980.0,30025,538.0,4437.0,726.0,493325.0,42566.0
15,Netherlands,41774,+455,5288.0,+84,,36236,584.0,2438.0,309.0,249655.0,14570.0
16,Saudi Arabia,33731,"+1,793",219.0,+10,7798.0,25714,145.0,969.0,6.0,405685.0,11653.0
17,Ecuador,30298,+878,1654.0,+36,3433.0,25211,156.0,1717.0,94.0,83218.0,4717.0
18,Switzerland,30126,+66,1810.0,+5,25700.0,2616,121.0,3481.0,209.0,290365.0,33550.0
19,Mexico,27634,"+1,609",2704.0,+197,17781.0,7149,378.0,214.0,21.0,105664.0,820.0
20,Portugal,26715,+533,1105.0,+16,2258.0,23352,135.0,2620.0,108.0,485925.0,47655.0
21,Pakistan,24644,"+1,430",585.0,+41,6464.0,17595,111.0,112.0,3.0,244778.0,1108.0
22,Sweden,24623,+705,3040.0,+99,4074.0,17509,425.0,2438.0,301.0,148500.0,14704.0
23,Chile,24581,"+1,533",285.0,+4,11664.0,12632,493.0,1286.0,15.0,244226.0,12776.0
24,Ireland,22385,+137,1403.0,+28,17110.0,3872,93.0,4533.0,284.0,214761.0,43493.0
25,Singapore,20939,+741,20.0,,1712.0,19207,19.0,3579.0,3.0,175604.0,30016.0
26,Belarus,20168,+913,116.0,+4,5067.0,14985,92.0,2134.0,12.0,229466.0,24284.0
27,Qatar,18890,+918,12.0,,2286.0,16592,72.0,6557.0,4.0,116495.0,40435.0
28,Israel,16346,+36,239.0,,10737.0,5370,83.0,1889.0,28.0,432453.0,49963.0
29,UAE,16240,+502,165.0,+8,3572.0,12503,1.0,1642.0,17.0,1200000.0,121330.0
