,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
0,,World,5279848,"+89,352",338676.0,"+4,503",2138396.0,2802776.0,44694.0,677.0,43.4,,,
1,1.0,USA,1640961,"+20,059",97490.0,"+1,136",395505.0,1147966.0,17207.0,4961.0,295.0,13782770.0,41666.0,330790544.0
2,2.0,Russia,326448,"+8,894",3249.0,+150,99825.0,223374.0,2300.0,2237.0,22.0,8126626.0,55689.0,145927804.0
3,3.0,Brazil,319069,"+8,148",20541.0,+459,125960.0,172568.0,8318.0,1502.0,97.0,735224.0,3462.0,212393298.0
4,4.0,Spain,281904,"+1,787",28628.0,+688,196958.0,56318.0,1152.0,6030.0,612.0,3037840.0,64977.0,46752851.0
5,5.0,UK,254195,"+3,287",36393.0,+351,,,1559.0,3747.0,536.0,3231921.0,47635.0,67847158.0
6,6.0,Italy,228658,+652,32616.0,+130,136720.0,59322.0,595.0,3781.0,539.0,3318778.0,54882.0,60471198.0
7,7.0,France,182219,+393,28289.0,+74,64209.0,89721.0,1701.0,2792.0,433.0,1384633.0,21218.0,65258007.0
8,8.0,Germany,179713,+692,8352.0,+43,159000.0,12361.0,965.0,2146.0,100.0,3595059.0,42923.0,83755045.0
9,9.0,Turkey,154500,+952,4276.0,+27,116111.0,34113.0,800.0,1834.0,51.0,1767495.0,20982.0,84237509.0
10,10.0,Iran,131652,"+2,311",7300.0,+51,102276.0,22076.0,2659.0,1570.0,87.0,763913.0,9108.0,83871454.0
11,11.0,India,124794,"+6,568",3726.0,+142,51824.0,69244.0,,91.0,3.0,2719434.0,1973.0,1378492893.0
12,12.0,Peru,111698,"+2,929",3244.0,+96,44848.0,63606.0,886.0,3393.0,99.0,750526.0,22799.0,32919665.0
13,13.0,Canada,82420,"+1,096",6245.0,+93,42481.0,33694.0,502.0,2186.0,166.0,1379731.0,36592.0,37705478.0
14,14.0,Saudi Arabia,67719,"+2,642",364.0,+13,39003.0,28352.0,302.0,1949.0,10.0,667057.0,19195.0,34751777.0
15,15.0,Chile,61857,"+4,276",630.0,+41,25342.0,35885.0,986.0,3239.0,33.0,442093.0,23149.0,19098031.0
16,16.0,Mexico,59567,"+2,973",6510.0,+420,40657.0,12400.0,378.0,463.0,51.0,201838.0,1567.0,128781349.0
17,17.0,Belgium,56511,+276,9212.0,+26,15123.0,32176.0,268.0,4878.0,795.0,757328.0,65376.0,11584152.0
18,18.0,Pakistan,50694,"+2,603",1067.0,+50,15201.0,34426.0,111.0,230.0,5.0,445987.0,2024.0,220392002.0
19,19.0,Netherlands,44888,+188,5788.0,+13,,,252.0,2620.0,338.0,313755.0,18315.0,17130802.0
20,20.0,Qatar,40481,"+1,830",19.0,+2,7893.0,32569.0,175.0,14078.0,7.0,180642.0,62822.0,2875446.0
21,21.0,Ecuador,35828,+522,3056.0,+117,3557.0,29215.0,191.0,2034.0,174.0,104330.0,5924.0,17612428.0
22,22.0,Belarus,34303,+932,190.0,+5,12833.0,21280.0,92.0,3630.0,20.0,419004.0,44341.0,9449653.0
23,23.0,Sweden,32809,+637,3925.0,+54,4971.0,23913.0,265.0,3251.0,389.0,209900.0,20798.0,10092371.0
24,24.0,Switzerland,30707,+13,1903.0,+5,27900.0,904.0,51.0,3551.0,220.0,364321.0,42129.0,8647657.0
25,25.0,Singapore,30426,+614,23.0,,12995.0,17408.0,8.0,5205.0,4.0,294414.0,50368.0,5845265.0
26,26.0,Bangladesh,30205,"+1,694",432.0,+24,6190.0,23583.0,1.0,184.0,3.0,223841.0,1361.0,164506480.0
27,27.0,Portugal,30200,+288,1289.0,+12,7590.0,21321.0,84.0,2961.0,126.0,689705.0,67619.0,10199821.0
28,28.0,UAE,27892,+994,241.0,+4,13798.0,13853.0,1.0,2824.0,24.0,1600923.0,162087.0,9876944.0
29,29.0,Ireland,24506,+115,1592.0,+9,21060.0,1854.0,54.0,4969.0,323.0,295626.0,59945.0,4931601.0
30,30.0,Indonesia,20796,+634,1326.0,+48,5057.0,14413.0,,76.0,5.0,229334.0,839.0,273200237.0
31,31.0,Poland,20619,+476,982.0,+10,8731.0,10906.0,160.0,545.0,26.0,719571.0,19011.0,37850989.0
32,32.0,Ukraine,20148,+442,588.0,+9,6585.0,12975.0,256.0,460.0,13.0,267185.0,6106.0,43760843.0
33,33.0,South Africa,20125,+988,397.0,+28,10104.0,9624.0,119.0,340.0,7.0,543032.0,9169.0,59224262.0
34,34.0,Kuwait,19564,+955,138.0,+9,5515.0,13911.0,180.0,4589.0,32.0,264959.0,62148.0,4263365.0
35,35.0,Colombia,18330,,652.0,,4431.0,13247.0,136.0,361.0,13.0,214536.0,4221.0,50822230.0
36,36.0,Romania,17712,+127,1166.0,+10,10777.0,5769.0,200.0,920.0,61.0,352647.0,18318.0,19250875.0
37,37.0,Israel,16690,+7,279.0,,13915.0,2496.0,47.0,1932.0,32.0,531124.0,61472.0,8640028.0
38,38.0,Austria,16436,+32,635.0,+2,15005.0,796.0,31.0,1826.0,71.0,390488.0,43384.0,9000787.0
39,39.0,Japan,16424,,777.0,,12672.0,2975.0,195.0,130.0,6.0,261572.0,2067.0,126516956.0
40,40.0,Egypt,15786,+783,707.0,+11,4374.0,10705.0,41.0,155.0,7.0,135000.0,1322.0,102109848.0
41,41.0,Dominican Republic,13989,+332,456.0,+8,7572.0,5961.0,113.0,1291.0,42.0,61330.0,5660.0,10835780.0
42,42.0,Philippines,13597,+163,857.0,+11,3092.0,9648.0,81.0,124.0,8.0,278041.0,2541.0,109415846.0
43,43.0,Denmark,11230,+48,561.0,,9764.0,905.0,23.0,1940.0,97.0,514765.0,88906.0,5789998.0
44,44.0,S. Korea,11142,+20,264.0,,10162.0,716.0,15.0,217.0,5.0,802418.0,15653.0,51264480.0
45,45.0,Serbia,11024,+105,237.0,,5541.0,5246.0,12.0,1261.0,27.0,209797.0,24001.0,8741034.0
46,46.0,Panama,10116,,291.0,,6245.0,3580.0,72.0,2349.0,68.0,53928.0,12521.0,4306982.0
47,47.0,Argentina,9931,,419.0,+3,3062.0,6450.0,171.0,220.0,9.0,121278.0,2686.0,45149718.0
