,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
0,,"
North America
","2,044,346","+3,513","123,858",+386,"670,598","1,249,890","19,427",,,,,,North America
1,,"
South America
","847,008","+2,389","39,340",+25,"345,961","461,707","11,281",,,,,,South America
2,,"
Europe
","2,004,226",,"173,280",,"978,245","852,701","8,796",,,,,,Europe
3,,"
Asia
","1,108,043",+522,"30,208",+1,"672,401","405,434","13,624",,,,,,Asia
4,,"
Africa
","143,769",,"4,092",,"60,987","78,690",370,,,,,,Africa
5,,"
Oceania
","8,801",+7,125,,"8,196",480,4,,,,,,Australia/Oceania
6,,"

",721,,15,,651,55,4,,,,,,
7,,World,"6,156,914","+6,431","370,918",+412,"2,737,039","3,048,957","53,506",790,47.6,,,,All
8,1,USA,"1,816,820",,"105,557 ",,"535,238","1,176,025","17,163","5,492",319,"17,270,841","52,203","330,838,184 ",North America
9,2,Brazil,"499,966","+1,526","28,849 ",+15,"205,371","265,746","8,318","2,354",136,"930,013","4,378","212,430,396 ",South America
10,3,Russia,"396,575",,"4,555 ",,"167,469","224,551","2,300","2,718",31,"10,316,200","70,693","145,929,337 ",Europe
11,4,Spain,"286,308",,"27,125 ",,"196,958","62,225",617,"6,124",580,"3,556,567","76,071","46,753,295 ",Europe
12,5,UK,"272,826",,"38,376 ",,N/A,N/A,"1,559","4,021",566,"4,043,686","59,592","67,855,909 ",Europe
13,6,Italy,"232,664",,"33,340 ",,"155,633","43,691",450,"3,848",551,"3,824,621","63,249","60,469,020 ",Europe
14,7,France,"188,625",,"28,771 ",,"68,268","91,586","1,325","2,890",441,"1,384,633","21,217","65,261,548 ",Europe
15,8,Germany,"183,294",,"8,600 ",,"164,900","9,794",720,"2,188",103,"3,952,971","47,193","83,761,616 ",Europe
16,9,India,"181,827",,"5,185 ",,"86,936","89,706","8,944",132,4,"3,611,599","2,619","1,378,826,256 ",Asia
17,10,Turkey,"163,103",,"4,515 ",,"126,984","31,604",649,"1,936",54,"2,003,594","23,779","84,259,813 ",Asia
18,11,Peru,"155,671",,"4,371 ",,"66,447","84,853",960,"4,727",133,"1,012,708","30,752","32,930,962 ",South America
19,12,Iran,"148,950",,"7,734 ",,"116,827","24,389","2,533","1,775",92,"896,571","10,686","83,897,889 ",Asia
20,13,Chile,"94,858",,997 ,,"40,431","53,430","1,371","4,966",52,"563,320","29,490","19,102,061 ",South America
21,14,Canada,"90,190",,"7,073 ",,"48,103","35,014","1,618","2,391",188,"1,634,277","43,334","37,713,606 ",North America
22,15,Mexico,"87,512","+2,885","9,779 ",+364,"61,871","15,862",378,679,76,"270,992","2,104","128,814,639 ",North America
23,16,Saudi Arabia,"83,384",,480 ,,"58,883","24,021",384,"2,398",14,"806,569","23,201","34,765,118 ",Asia
24,17,Pakistan,"66,457",,"1,395 ",,"24,131","40,931",111,301,6,"532,037","2,413","220,497,647 ",Asia
25,18,Belgium,"58,186",,"9,453 ",,"15,769","32,964",173,"5,022",816,"848,065","73,201","11,585,389 ",Europe
26,19,Qatar,"55,262",,36 ,,"25,839","29,387",217,"19,211",13,"217,988","75,779","2,876,643 ",Asia
27,20,Netherlands,"46,257",,"5,951 ",,N/A,N/A,170,"2,700",347,"349,150","20,380","17,131,732 ",Europe
28,21,Bangladesh,"44,608",,610 ,,"9,375","34,623",1,271,4,"297,054","1,805","164,546,795 ",Asia
29,22,Belarus,"41,658",,229 ,,"17,964","23,465",92,"4,408",24,"526,559","55,723","9,449,576 ",Europe
30,23,Ecuador,"38,571",,"3,334 ",,"19,190","16,047",220,"2,189",189,"113,808","6,459","17,619,020 ",South America
31,24,Sweden,"37,113",,"4,395 ",,"4,971","27,747",190,"3,677",435,"238,800","23,658","10,093,917 ",Europe
32,25,Singapore,"34,366",,23 ,,"20,727","13,616",7,"5,878",4,"334,691","57,247","5,846,395 ",Asia
33,26,UAE,"33,896",,262 ,,"17,546","16,088",1,"3,431",27,"2,110,493","213,615","9,879,882 ",Asia
34,27,Portugal,"32,203",,"1,396 ",,"19,186","11,621",66,"3,157",137,"795,838","78,030","10,199,093 ",Europe
35,28,South Africa,"30,967",,643  ,,"16,116","14,208",128,523,11,"701,883","11,848","59,242,648 ",Africa
36,29,Switzerland,"30,845",,"1,919 ",,"28,400",526,27,"3,566",222,"394,717","45,636","8,649,211 ",Europe
37,30,Colombia,"28,236",,890 ,,"7,121","20,225",136,555,18,"319,779","6,290","50,835,558 ",South America
38,31,Kuwait,"26,192",,205 ,,"10,156","15,831",206,"6,141",48,"290,013","68,000","4,264,919 ",Asia
