,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","7,700,604","+33,058","281,049",+608,"4,594,694","+39,610","2,824,861","18,564",,,,,,North America,"
",,
1,,"
Asia
","7,857,641","+100,335","153,760","+1,641","6,349,183","+96,829","1,354,698","19,177",,,,,,Asia,"
",,
2,,"
South America
","6,747,445","+29,411","218,949",+969,"5,385,882","+63,119","1,142,614","15,050",,,,,,South America,"
",,
3,,"
Europe
","3,831,179","+26,207","210,280",+263,"2,168,113","+8,051","1,452,786","6,072",,,,,,Europe,"
",,
4,,"
Africa
","1,312,179","+6,927","31,575",+218,"1,049,512","+9,058","231,092","1,434",,,,,,Africa,"
",,
5,,"
Oceania
","29,346",+56,793,+9,"24,876",+138,"3,677",41,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"27,479,115","+195,994","896,421","+3,708","19,572,911","+216,805","7,009,783","60,342","3,525",115.0,,,,All,"
",,
8,1,USA,"6,485,567","+25,317","193,534 ",+286,"3,758,618","+32,648","2,533,415","14,589","19,572",584,"88,067,851","265,771","331,367,517 ",North America,51,"1,712",4
9,2,India,"4,277,584","+75,022","72,816 ","+1,129","3,321,420","+74,123","883,348","8,944","3,094",53,"49,551,507","35,841","1,382,530,286 ",Asia,323,"18,987",28
10,3,Brazil,"4,147,794","+10,188","127,001 ",+315,"3,355,564","+38,337","665,229","8,318","19,488",597,"14,408,116","67,694","212,842,596 ",South America,51,"1,676",15
11,4,Russia,"1,030,690","+5,185","17,871 ",+51,"843,277","+2,328","169,542","2,300","7,062",122,"38,758,184","265,565","145,946,376 ",Europe,142,"8,167",4
12,5,Peru,"689,977",,"29,838 ",,"515,039",,"145,100","1,500","20,873",903,"3,379,580","102,237","33,056,487 ",South America,48,"1,108",10
13,6,Colombia,"671,848","+5,327","21,615 ",+203,"529,279","+11,050","120,954",863,"13,178",424,"2,964,722","58,150","50,983,652 ",South America,76,"2,359",17
14,7,South Africa,"639,362",+845,"15,004 ",+115,"566,555","+2,664","57,803",539,"10,755",252,"3,808,949","64,073","59,446,940 ",Africa,93,"3,962",16
15,8,Mexico,"634,023","+4,614","67,558 ",+232,"442,268","+3,514","124,197","2,927","4,908",523,"1,431,633","11,082","129,184,522 ",North America,204,"1,912",90
16,9,Spain,"525,549","+2,440","29,516 ",+32,N/A,N/A,N/A,"1,034","11,240",631,"9,987,326","213,595","46,758,226 ",Europe,89,"1,584",5
17,10,Argentina,"488,007","+9,215","10,129 ",+270,"357,388","+8,256","120,490","2,698","10,779",224,"1,412,149","31,192","45,273,109 ",South America,93,"4,470",32
18,11,Chile,"424,274","+1,764","11,652 ",+60,"395,717","+1,318","16,905",930,"22,159",609,"2,641,589","137,965","19,146,844 ",South America,45,"1,643",7
19,12,Iran,"388,810","+2,152","22,410 ",+117,"335,572","+1,672","30,828","3,733","4,618",266,"3,406,055","40,456","84,191,615 ",Asia,217,"3,757",25
20,13,UK,"350,100","+2,948","41,554 ",+3,N/A,N/A,N/A,69,"5,152",612,"17,619,897","259,295","67,953,144 ",Europe,194,"1,635",4
21,14,France,"328,980","+4,203","30,726 ",+25,"87,836",+389,"210,418",537,"5,038",471,"8,500,000","130,167","65,300,897 ",Europe,198,"2,125",8
22,15,Bangladesh,"327,359","+2,202","4,516 ",+37,"224,573","+3,298","98,270",,"1,984",27,"1,644,724","9,968","164,994,746 ",Asia,504,"36,536",100
23,16,Saudi Arabia,"321,456",+768,"4,107 ",+26,"297,623",+886,"19,726","1,430","9,207",118,"5,406,136","154,844","34,913,354 ",Asia,109,"8,501",6
24,17,Pakistan,"298,903",+394,"6,345 ",+3,"286,016",+118,"6,542",534,"1,348",29,"2,778,689","12,535","221,671,477 ",Asia,742,"34,936",80
25,18,Turkey,"281,509","+1,703","6,730 ",+57,"252,152","+1,047","22,627","1,118","3,331",80,"7,883,464","93,287","84,507,634 ",Asia,300,"12,557",11
26,19,Italy,"278,784","+1,108","35,553 ",+12,"210,238",+223,"32,993",142,"4,612",588,"9,271,810","153,393","60,444,825 ",Europe,217,"1,700",7
27,20,Iraq,"264,684","+4,314","7,589 ",+77,"202,859","+4,299","54,236",534,"6,554",188,"1,718,157","42,544","40,385,131 ",Asia,153,"5,322",24
